Produktvariante;Prozessschritt;Auftragsnummer;Prozessbeschreibung;Prozessnummer;Startdatum;Startzeit;Enddatum;Endzeit;Arbeitsstation;Transportzeit
8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:14:08;12.05.2021;10:15:51;8;6
8010;40;1329;feed part from magazin;200;12.05.2021;10:16:41;12.05.2021;10:16:44;6;63
8010;50;1329;pressing for time in seconds;110;12.05.2021;10:16:57;12.05.2021;10:16:59;7;14
8010;60;1329;store a part from stopper 2;211;12.05.2021;10:18:40;12.05.2021;10:18:52;5;1126
8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:03:49;12.05.2021;10:04:02;5;0
8010;20;1329;feed part from magazin;200;12.05.2021;10:04:30;12.05.2021;10:04:32;11;27
8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:21:18;12.05.2021;10:23:01;8;6
8010;40;1329;feed part from magazin;200;12.05.2021;10:24:29;12.05.2021;10:24:31;6;63
8010;50;1329;pressing for time in seconds;110;12.05.2021;10:24:48;12.05.2021;10:24:51;7;14
8010;60;1329;store a part from stopper 2;211;12.05.2021;10:26:12;12.05.2021;10:26:24;5;1126
8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:04:06;12.05.2021;10:04:20;5;0
8010;20;1329;feed part from magazin;200;12.05.2021;10:04:47;12.05.2021;10:04:49;11;27
8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:19:30;12.05.2021;10:21:13;8;6
8010;40;1329;feed part from magazin;200;12.05.2021;10:21:55;12.05.2021;10:21:57;6;63
8010;50;1329;pressing for time in seconds;110;12.05.2021;10:22:13;12.05.2021;10:22:15;7;14
8010;60;1329;store a part from stopper 2;211;12.05.2021;10:23:50;12.05.2021;10:24:03;5;1126
8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:04:24;12.05.2021;10:04:38;5;0
8010;20;1329;feed part from magazin;200;12.05.2021;10:05:05;12.05.2021;10:05:07;11;27
8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:10:12;12.05.2021;10:11:56;8;6
8010;40;1329;feed part from magazin;200;12.05.2021;10:13:00;12.05.2021;10:13:02;6;63
8010;50;1329;pressing for time in seconds;110;12.05.2021;10:13:28;12.05.2021;10:13:30;7;14
8010;60;1329;store a part from stopper 2;211;12.05.2021;10:15:02;12.05.2021;10:15:14;5;1126
8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:04:41;12.05.2021;10:04:56;5;0
8010;20;1329;feed part from magazin;200;12.05.2021;10:05:23;12.05.2021;10:05:25;11;27
8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:17:43;12.05.2021;10:19:26;8;6
8010;40;1329;feed part from magazin;200;12.05.2021;10:20:09;12.05.2021;10:20:11;6;63
8010;50;1329;pressing for time in seconds;110;12.05.2021;10:20:26;12.05.2021;10:20:29;7;14
8010;60;1329;store a part from stopper 2;211;12.05.2021;10:22:35;12.05.2021;10:22:47;5;1126
8010;10;1329;release a defined part on stopper 1;212;12.05.2021;10:05:00;12.05.2021;10:05:15;5;0
8010;20;1329;feed part from magazin;200;12.05.2021;10:05:42;12.05.2021;10:05:44;11;27
8010;30;1329;assemble a PCB with one fuse left;302;12.05.2021;10:15:55;12.05.2021;10:17:38;8;6
8010;40;1329;feed part from magazin;200;12.05.2021;10:18:25;12.05.2021;10:18:27;6;63
8010;50;1329;pressing for time in seconds;110;12.05.2021;10:18:42;12.05.2021;10:18:44;7;14
8010;60;1329;store a part from stopper 2;211;12.05.2021;10:20:27;12.05.2021;10:20:39;5;1126
8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:18:10;12.05.2021;10:18:24;5;0
8011;20;1330;feed part from magazin;200;12.05.2021;10:18:52;12.05.2021;10:18:54;11;27
8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:23:24;12.05.2021;10:25:15;8;6
8011;40;1330;feed part from magazin;200;12.05.2021;10:26:26;12.05.2021;10:26:28;6;63
8011;50;1330;pressing for time in seconds;110;12.05.2021;10:26:42;12.05.2021;10:26:44;7;14
8011;60;1330;store a part from stopper 2;211;12.05.2021;10:28:29;12.05.2021;10:28:41;5;1126
8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:18:53;12.05.2021;10:19:07;5;0
8011;20;1330;feed part from magazin;200;12.05.2021;10:19:34;12.05.2021;10:19:36;11;27
8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:25:20;12.05.2021;10:27:11;8;6
8011;40;1330;feed part from magazin;200;12.05.2021;10:28:10;12.05.2021;10:28:12;6;63
8011;50;1330;pressing for time in seconds;110;12.05.2021;10:28:30;12.05.2021;10:28:34;7;14
8011;60;1330;store a part from stopper 2;211;12.05.2021;10:30:21;12.05.2021;10:30:32;5;1126
8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:19:11;12.05.2021;10:19:26;5;0
8011;20;1330;feed part from magazin;200;12.05.2021;10:19:53;12.05.2021;10:19:55;11;27
8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:15:05;12.05.2021;11:16:45;8;6
8111;40;1332;feed part from magazin;200;12.05.2021;11:17:47;12.05.2021;11:17:50;6;63
8111;50;1332;pressing for time in seconds;110;12.05.2021;11:18:03;12.05.2021;11:18:05;7;14
8111;60;1332;store a part from stopper 2;211;12.05.2021;11:19:48;12.05.2021;11:20:03;5;1126
8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:09:33;12.05.2021;11:09:46;5;0
8111;20;1332;feed part from magazin;200;12.05.2021;11:10:13;12.05.2021;11:10:15;11;27
8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:24:03;12.05.2021;11:25:43;8;6
8111;40;1332;feed part from magazin;200;12.05.2021;11:27:02;12.05.2021;11:27:04;6;63
8111;50;1332;pressing for time in seconds;110;12.05.2021;11:27:17;12.05.2021;11:27:19;7;14
8111;60;1332;store a part from stopper 2;211;12.05.2021;11:29:10;12.05.2021;11:29:22;5;1126
8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:10:16;12.05.2021;11:10:30;5;0
8111;20;1332;feed part from magazin;200;12.05.2021;11:10:56;12.05.2021;11:10:58;11;27
8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:16:49;12.05.2021;11:18:29;8;6
8111;40;1332;feed part from magazin;200;12.05.2021;11:19:30;12.05.2021;11:19:32;6;63
8111;50;1332;pressing for time in seconds;110;12.05.2021;11:19:45;12.05.2021;11:19:48;7;14
8111;60;1332;store a part from stopper 2;211;12.05.2021;11:21:39;12.05.2021;11:21:51;5;1126
8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:10:33;12.05.2021;11:10:47;5;0
8111;20;1332;feed part from magazin;200;12.05.2021;11:11:14;12.05.2021;11:11:16;11;27
8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:25:50;12.05.2021;11:27:29;8;6
8111;40;1332;feed part from magazin;200;12.05.2021;11:28:16;12.05.2021;11:28:18;6;63
8111;50;1332;pressing for time in seconds;110;12.05.2021;11:28:31;12.05.2021;11:28:33;7;14
8111;60;1332;store a part from stopper 2;211;12.05.2021;11:30:04;12.05.2021;11:30:16;5;1126
8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:10:57;12.05.2021;11:11:10;5;0
8111;20;1332;feed part from magazin;200;12.05.2021;11:11:37;12.05.2021;11:11:39;11;27
8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:18:33;12.05.2021;11:20:13;8;6
8111;40;1332;feed part from magazin;200;12.05.2021;11:21:01;12.05.2021;11:21:04;6;63
8111;50;1332;pressing for time in seconds;110;12.05.2021;11:21:22;12.05.2021;11:21:25;7;14
8111;60;1332;store a part from stopper 2;211;12.05.2021;11:22:57;12.05.2021;11:23:09;5;1126
8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:12:19;12.05.2021;11:12:33;5;0
8111;20;1332;feed part from magazin;200;12.05.2021;11:13:00;12.05.2021;11:13:02;11;27
8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:27:34;12.05.2021;11:32:40;8;6
8111;40;1332;feed part from magazin;200;12.05.2021;11:33:31;12.05.2021;11:33:33;6;63
8111;50;1332;pressing for time in seconds;110;12.05.2021;11:33:46;12.05.2021;11:33:48;7;14
8111;60;1332;store a part from stopper 2;211;12.05.2021;11:35:51;12.05.2021;11:36:03;5;1126
8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:12:37;12.05.2021;11:12:51;5;0
8111;20;1332;feed part from magazin;200;12.05.2021;11:13:19;12.05.2021;11:13:21;11;27
8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:22:19;12.05.2021;11:23:58;8;6
8111;40;1332;feed part from magazin;200;12.05.2021;11:25:12;12.05.2021;11:25:15;6;63
8111;50;1332;pressing for time in seconds;110;12.05.2021;11:25:30;12.05.2021;11:25:32;7;14
8111;60;1332;store a part from stopper 2;211;12.05.2021;11:26:59;12.05.2021;11:27:11;5;1126
8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:13:54;12.05.2021;11:14:07;5;0
8111;20;1332;feed part from magazin;200;12.05.2021;11:14:35;12.05.2021;11:14:36;11;27
8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:20:17;12.05.2021;11:21:56;8;6
8111;40;1332;feed part from magazin;200;12.05.2021;11:22:42;12.05.2021;11:22:44;6;63
8111;50;1332;pressing for time in seconds;110;12.05.2021;11:22:57;12.05.2021;11:22:59;7;14
8111;60;1332;store a part from stopper 2;211;12.05.2021;11:25:38;12.05.2021;11:25:50;5;1126
8010;10;1333;release a defined part on stopper 1;212;12.05.2021;11:25:23;12.05.2021;11:25:37;5;0
8010;20;1333;feed part from magazin;200;12.05.2021;11:26:04;12.05.2021;11:26:06;11;27
8010;30;1333;assemble a PCB with one fuse left;302;12.05.2021;11:33:44;12.05.2021;11:35:52;8;6
8010;40;1333;feed part from magazin;200;12.05.2021;11:37:30;12.05.2021;11:37:32;6;63
8010;50;1333;pressing for time in seconds;110;12.05.2021;11:37:45;12.05.2021;11:37:48;7;14
8010;60;1333;store a part from stopper 2;211;12.05.2021;11:39:28;12.05.2021;11:39:40;5;1126
8010;10;1333;release a defined part on stopper 1;212;12.05.2021;11:26:22;12.05.2021;11:26:34;5;0
8010;20;1333;feed part from magazin;200;12.05.2021;11:27:01;12.05.2021;11:27:04;11;27
8010;30;1333;assemble a PCB with one fuse left;302;12.05.2021;11:35:56;12.05.2021;11:37:40;8;6
8010;40;1333;feed part from magazin;200;12.05.2021;11:38:38;12.05.2021;11:38:40;6;63
8010;50;1333;pressing for time in seconds;110;12.05.2021;11:38:57;12.05.2021;11:38:59;7;14
8010;60;1333;store a part from stopper 2;211;12.05.2021;11:40:33;12.05.2021;11:40:45;5;1126
8010;10;1333;release a defined part on stopper 1;212;12.05.2021;11:26:38;12.05.2021;11:26:50;5;0
8010;20;1333;feed part from magazin;200;12.05.2021;11:27:17;12.05.2021;11:27:19;11;27
8010;30;1333;assemble a PCB with one fuse left;302;12.05.2021;11:37:44;12.05.2021;11:39:27;8;6
8010;40;1333;feed part from magazin;200;12.05.2021;11:40:13;12.05.2021;11:40:15;6;63
8011;50;1333;pressing for time in seconds;110;12.05.2021;11:54:06;12.05.2021;11:54:08;7;14
8011;60;1333;store a part from stopper 2;211;12.05.2021;11:55:41;12.05.2021;11:55:52;5;1126
8011;10;1333;release a defined part on stopper 1;212;12.05.2021;11:31:44;12.05.2021;11:31:59;5;0
8011;20;1333;feed part from magazin;200;12.05.2021;11:32:25;12.05.2021;11:32:27;11;27
8011;30;1333;assemble a PCB with fuse left and right ;304;12.05.2021;11:45:25;12.05.2021;11:47:17;8;6
8011;40;1333;feed part from magazin;200;12.05.2021;11:48:12;12.05.2021;11:48:14;6;63
8011;50;1333;pressing for time in seconds;110;12.05.2021;11:48:29;12.05.2021;11:48:32;7;14
8011;60;1333;store a part from stopper 2;211;12.05.2021;11:50:08;12.05.2021;11:50:20;5;1126
8011;10;1333;release a defined part on stopper 1;212;12.05.2021;11:37:52;12.05.2021;11:38:06;5;0
8011;20;1333;feed part from magazin;200;12.05.2021;11:38:33;12.05.2021;11:38:35;11;27
8011;30;1333;assemble a PCB with fuse left and right ;304;12.05.2021;11:49:18;12.05.2021;11:51:09;8;6
8011;40;1333;feed part from magazin;200;12.05.2021;11:51:53;12.05.2021;11:51:55;6;63
8011;50;1333;pressing for time in seconds;110;12.05.2021;11:52:08;12.05.2021;11:52:11;7;14
8011;60;1333;store a part from stopper 2;211;12.05.2021;11:54:25;12.05.2021;11:54:37;5;1126
8110;10;1334;release a defined part on stopper 1;212;12.05.2021;11:50:21;12.05.2021;11:50:34;5;0
8110;60;1334;store a part from stopper 2;211;12.05.2021;12:08:40;12.05.2021;12:08:53;5;1126
8111;10;1334;release a defined part on stopper 1;212;12.05.2021;11:52:54;12.05.2021;11:53:08;5;0
8111;20;1334;feed part from magazin;200;12.05.2021;11:53:35;12.05.2021;11:53:37;11;27
8111;30;1334;assembly part with defined PCB;300;12.05.2021;11:58:25;12.05.2021;12:00:03;8;6
8111;40;1334;feed part from magazin;200;12.05.2021;12:01:58;12.05.2021;12:02:01;6;63
8111;50;1334;pressing for time in seconds;110;12.05.2021;12:02:21;12.05.2021;12:02:23;7;14
8111;60;1334;store a part from stopper 2;211;12.05.2021;12:04:06;12.05.2021;12:04:18;5;1126
8111;10;1334;release a defined part on stopper 1;212;12.05.2021;11:53:11;12.05.2021;11:53:25;5;0
8111;20;1334;feed part from magazin;200;12.05.2021;11:53:51;12.05.2021;11:53:54;11;27
8111;30;1334;assembly part with defined PCB;300;12.05.2021;12:00:28;12.05.2021;12:02:07;8;6
8111;40;1334;feed part from magazin;200;12.05.2021;12:03:00;12.05.2021;12:03:02;6;63
8111;50;1334;pressing for time in seconds;110;12.05.2021;12:03:15;12.05.2021;12:03:18;7;14
8111;60;1334;store a part from stopper 2;211;12.05.2021;12:04:34;12.05.2021;12:04:48;5;1126
8111;10;1334;release a defined part on stopper 1;212;12.05.2021;11:53:34;12.05.2021;11:53:49;5;0
8111;20;1334;feed part from magazin;200;12.05.2021;11:54:16;12.05.2021;11:54:18;11;27
8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:27:15;12.05.2021;10:29:06;8;6
8011;40;1330;feed part from magazin;200;12.05.2021;10:29:48;12.05.2021;10:29:50;6;63
8011;50;1330;pressing for time in seconds;110;12.05.2021;10:30:08;12.05.2021;10:30:10;7;14
8011;60;1330;store a part from stopper 2;211;12.05.2021;10:32:10;12.05.2021;10:32:22;5;1126
8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:20:40;12.05.2021;10:20:55;5;0
8011;20;1330;feed part from magazin;200;12.05.2021;10:21:22;12.05.2021;10:21:24;11;27
8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:33:21;12.05.2021;10:35:14;8;6
8011;40;1330;feed part from magazin;200;12.05.2021;10:35:56;12.05.2021;10:35:58;6;63
8011;50;1330;pressing for time in seconds;110;12.05.2021;10:36:20;12.05.2021;10:36:22;7;14
8011;60;1330;store a part from stopper 2;211;12.05.2021;10:38:06;12.05.2021;10:38:19;5;1126
8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:20:59;12.05.2021;10:21:14;5;0
8011;20;1330;feed part from magazin;200;12.05.2021;10:21:41;12.05.2021;10:21:43;11;27
8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:35:18;12.05.2021;10:37:10;8;6
8011;40;1330;feed part from magazin;200;12.05.2021;10:38:07;12.05.2021;10:38:09;6;63
8011;50;1330;pressing for time in seconds;110;12.05.2021;10:38:23;12.05.2021;10:38:25;7;14
8011;60;1330;store a part from stopper 2;211;12.05.2021;10:40:01;12.05.2021;10:40:15;5;1126
8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:21:18;12.05.2021;10:21:33;5;0
8011;20;1330;feed part from magazin;200;12.05.2021;10:22:00;12.05.2021;10:22:02;11;27
8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:29:11;12.05.2021;10:31:03;8;6
8011;40;1330;feed part from magazin;200;12.05.2021;10:32:15;12.05.2021;10:32:17;6;63
8011;50;1330;pressing for time in seconds;110;12.05.2021;10:32:32;12.05.2021;10:32:36;7;14
8011;60;1330;store a part from stopper 2;211;12.05.2021;10:34:20;12.05.2021;10:34:33;5;1126
8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:22:06;12.05.2021;10:22:20;5;0
8011;20;1330;feed part from magazin;200;12.05.2021;10:22:47;12.05.2021;10:22:49;11;27
8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:31:07;12.05.2021;10:32:59;8;6
8011;40;1330;feed part from magazin;200;12.05.2021;10:33:43;12.05.2021;10:33:45;6;63
8011;50;1330;pressing for time in seconds;110;12.05.2021;10:33:58;12.05.2021;10:34:00;7;14
8011;60;1330;store a part from stopper 2;211;12.05.2021;10:35:30;12.05.2021;10:35:45;5;1126
8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:24:39;12.05.2021;10:24:53;5;0
8011;20;1330;feed part from magazin;200;12.05.2021;10:25:20;12.05.2021;10:25:22;11;27
8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:39:11;12.05.2021;10:41:03;8;6
8011;40;1330;feed part from magazin;200;12.05.2021;10:41:46;12.05.2021;10:41:48;6;63
8011;50;1330;pressing for time in seconds;110;12.05.2021;10:42:03;12.05.2021;10:42:06;7;14
8011;60;1330;store a part from stopper 2;211;12.05.2021;10:43:51;12.05.2021;10:44:02;5;1126
8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:25:47;12.05.2021;10:25:59;5;0
8011;20;1330;feed part from magazin;200;12.05.2021;10:26:26;12.05.2021;10:26:28;11;27
8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:37:14;12.05.2021;10:39:06;8;6
8011;40;1330;feed part from magazin;200;12.05.2021;10:39:50;12.05.2021;10:39:53;6;63
8011;50;1330;pressing for time in seconds;110;12.05.2021;10:40:06;12.05.2021;10:40:08;7;14
8011;60;1330;store a part from stopper 2;211;12.05.2021;10:41:49;12.05.2021;10:42:01;5;1126
8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:28:42;12.05.2021;10:28:54;5;0
8011;20;1330;feed part from magazin;200;12.05.2021;10:29:21;12.05.2021;10:29:22;11;27
8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:41:08;12.05.2021;10:43:00;8;6
8011;40;1330;feed part from magazin;200;12.05.2021;10:44:05;12.05.2021;10:44:07;6;63
8011;50;1330;pressing for time in seconds;110;12.05.2021;10:44:22;12.05.2021;10:44:25;7;14
8011;60;1330;store a part from stopper 2;211;12.05.2021;10:46:07;12.05.2021;10:46:18;5;1126
8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:08:24;12.05.2021;11:08:38;5;0
8111;20;1332;feed part from magazin;200;12.05.2021;11:09:05;12.05.2021;11:09:07;11;27
8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:11:18;12.05.2021;11:12:58;8;6
8111;40;1332;feed part from magazin;200;12.05.2021;11:13:44;12.05.2021;11:13:46;6;63
8111;50;1332;pressing for time in seconds;110;12.05.2021;11:14:00;12.05.2021;11:14:04;7;14
8111;60;1332;store a part from stopper 2;211;12.05.2021;11:15:26;12.05.2021;11:15:39;5;1126
8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:08:41;12.05.2021;11:08:54;5;0
8111;20;1332;feed part from magazin;200;12.05.2021;11:09:21;12.05.2021;11:09:23;11;27
8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:13:21;12.05.2021;11:15:01;8;6
8111;40;1332;feed part from magazin;200;12.05.2021;11:16:13;12.05.2021;11:16:16;6;63
8111;50;1332;pressing for time in seconds;110;12.05.2021;11:16:37;12.05.2021;11:16:45;7;14
8111;60;1332;store a part from stopper 2;211;12.05.2021;11:19:09;12.05.2021;11:19:21;5;1126
8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:09:17;12.05.2021;11:09:29;5;0
8111;20;1332;feed part from magazin;200;12.05.2021;11:09:56;12.05.2021;11:09:58;11;27
8010;50;1333;pressing for time in seconds;110;12.05.2021;11:40:34;12.05.2021;11:40:41;7;14
8010;60;1333;store a part from stopper 2;211;12.05.2021;11:42:25;12.05.2021;11:42:37;5;1126
8010;10;1333;release a defined part on stopper 1;212;12.05.2021;11:27:21;12.05.2021;11:27:35;5;0
8010;20;1333;feed part from magazin;200;12.05.2021;11:28:02;12.05.2021;11:28:04;11;27
8010;30;1333;assemble a PCB with one fuse left;302;12.05.2021;11:43:38;12.05.2021;11:45:21;8;6
8010;40;1333;feed part from magazin;200;12.05.2021;11:46:06;12.05.2021;11:46:08;6;63
8010;50;1333;pressing for time in seconds;110;12.05.2021;11:46:27;12.05.2021;11:46:29;7;14
8010;60;1333;store a part from stopper 2;211;12.05.2021;11:48:09;12.05.2021;11:48:21;5;1126
8010;10;1333;release a defined part on stopper 1;212;12.05.2021;11:27:38;12.05.2021;11:27:52;5;0
8010;20;1333;feed part from magazin;200;12.05.2021;11:28:19;12.05.2021;11:28:22;11;27
8010;30;1333;assemble a PCB with one fuse left;302;12.05.2021;11:41:28;12.05.2021;11:43:11;8;6
8010;40;1333;feed part from magazin;200;12.05.2021;11:44:02;12.05.2021;11:44:05;6;63
8010;50;1333;pressing for time in seconds;110;12.05.2021;11:44:25;12.05.2021;11:44:27;7;14
8010;60;1333;store a part from stopper 2;211;12.05.2021;11:46:02;12.05.2021;11:46:14;5;1126
8011;10;1333;release a defined part on stopper 1;212;12.05.2021;11:27:56;12.05.2021;11:28:09;5;0
8011;20;1333;feed part from magazin;200;12.05.2021;11:28:35;12.05.2021;11:28:37;11;27
8011;30;1333;assemble a PCB with fuse left and right ;304;12.05.2021;11:39:31;12.05.2021;11:41:23;8;6
8011;40;1333;feed part from magazin;200;12.05.2021;11:42:16;12.05.2021;11:42:18;6;63
8011;50;1333;pressing for time in seconds;110;12.05.2021;11:42:31;12.05.2021;11:42:36;7;14
8011;60;1333;store a part from stopper 2;211;12.05.2021;11:44:43;12.05.2021;11:44:55;5;1126
8011;10;1333;release a defined part on stopper 1;212;12.05.2021;11:28:38;12.05.2021;11:28:52;5;0
8011;20;1333;feed part from magazin;200;12.05.2021;11:29:18;12.05.2021;11:29:21;11;27
8011;30;1333;assemble a PCB with fuse left and right ;304;12.05.2021;11:47:23;12.05.2021;11:49:14;8;6
8011;40;1333;feed part from magazin;200;12.05.2021;11:49:55;12.05.2021;11:49:58;6;63
8011;50;1333;pressing for time in seconds;110;12.05.2021;11:50:15;12.05.2021;11:50:17;7;14
8011;60;1333;store a part from stopper 2;211;12.05.2021;11:51:41;12.05.2021;11:51:53;5;1126
8011;10;1333;release a defined part on stopper 1;212;12.05.2021;11:30:50;12.05.2021;11:31:03;5;0
8011;20;1333;feed part from magazin;200;12.05.2021;11:31:31;12.05.2021;11:31:33;11;27
8011;30;1333;assemble a PCB with fuse left and right ;304;12.05.2021;11:51:14;12.05.2021;11:53:05;8;6
8011;40;1333;feed part from magazin;200;12.05.2021;11:53:48;12.05.2021;11:53:50;6;63
8111;30;1334;assembly part with defined PCB;300;12.05.2021;12:05:31;12.05.2021;12:07:10;8;6
8111;40;1334;feed part from magazin;200;12.05.2021;12:07:57;12.05.2021;12:08:00;6;63
8111;50;1334;pressing for time in seconds;110;12.05.2021;12:08:15;12.05.2021;12:08:17;7;14
8111;60;1334;store a part from stopper 2;211;12.05.2021;12:10:49;12.05.2021;12:11:00;5;1126
8111;10;1334;release a defined part on stopper 1;212;12.05.2021;11:56:09;12.05.2021;11:56:23;5;0
8111;20;1334;feed part from magazin;200;12.05.2021;11:56:50;12.05.2021;11:56:52;11;27
8111;30;1334;assembly part with defined PCB;300;12.05.2021;12:02:12;12.05.2021;12:03:52;8;6
8111;40;1334;feed part from magazin;200;12.05.2021;12:04:33;12.05.2021;12:04:36;6;63
8111;50;1334;pressing for time in seconds;110;12.05.2021;12:04:53;12.05.2021;12:04:56;7;14
8111;60;1334;store a part from stopper 2;211;12.05.2021;12:06:46;12.05.2021;12:06:58;5;1126
8111;10;1334;release a defined part on stopper 1;212;12.05.2021;11:57:57;12.05.2021;11:58:10;5;0
8111;20;1334;feed part from magazin;200;12.05.2021;11:58:37;12.05.2021;11:58:39;11;27
8111;30;1334;assembly part with defined PCB;300;12.05.2021;12:13:02;12.05.2021;12:14:41;8;6
8111;40;1334;feed part from magazin;200;12.05.2021;12:15:51;12.05.2021;12:15:53;6;63
8111;50;1334;pressing for time in seconds;110;12.05.2021;12:16:08;12.05.2021;12:16:10;7;14
8111;60;1334;store a part from stopper 2;211;12.05.2021;12:18:08;12.05.2021;12:18:20;5;1126
8110;20;1334;feed part from magazin;200;12.05.2021;11:51:01;12.05.2021;11:51:03;11;27
8110;30;1334;assembly part with defined PCB;300;12.05.2021;11:53:32;12.05.2021;11:55:02;8;6
