;index;Produktvariante;Prozessschritt;Auftragsnummer;Prozessbeschreibung;Prozessnummer;Startdatum;Startzeit;Enddatum;Endzeit;Arbeitsstation;Transportzeit;werkstueckID
125;125;8010;60;1333;store a part from stopper 2;211;12.05.2021;11:39:28;12.05.2021;11:39:40;5;1126;22
126;126;8010;10;1333;release a defined part on stopper 1;212;12.05.2021;11:26:22;12.05.2021;11:26:34;5;0;23
127;127;8010;20;1333;feed part from magazin;200;12.05.2021;11:27:01;12.05.2021;11:27:04;11;27;23
128;128;8010;30;1333;assemble a PCB with one fuse left;302;12.05.2021;11:35:56;12.05.2021;11:37:40;8;6;23
129;129;8010;40;1333;feed part from magazin;200;12.05.2021;11:38:38;12.05.2021;11:38:40;6;63;23
130;130;8010;50;1333;pressing for time in seconds;110;12.05.2021;11:38:57;12.05.2021;11:38:59;7;14;23
131;131;8010;60;1333;store a part from stopper 2;211;12.05.2021;11:40:33;12.05.2021;11:40:45;5;1126;23
132;132;8010;10;1333;release a defined part on stopper 1;212;12.05.2021;11:26:38;12.05.2021;11:26:50;5;0;error
133;133;8010;20;1333;feed part from magazin;200;12.05.2021;11:27:17;12.05.2021;11:27:19;11;27;error
134;134;8010;30;1333;assemble a PCB with one fuse left;302;12.05.2021;11:37:44;12.05.2021;11:39:27;8;6;error
135;135;8010;40;1333;feed part from magazin;200;12.05.2021;11:40:13;12.05.2021;11:40:15;6;63;error
136;136;8011;50;1333;pressing for time in seconds;110;12.05.2021;11:54:06;12.05.2021;11:54:08;7;14;error
137;137;8011;60;1333;store a part from stopper 2;211;12.05.2021;11:55:41;12.05.2021;11:55:52;5;1126;error
138;138;8011;10;1333;release a defined part on stopper 1;212;12.05.2021;11:31:44;12.05.2021;11:31:59;5;0;26
139;139;8011;20;1333;feed part from magazin;200;12.05.2021;11:32:25;12.05.2021;11:32:27;11;27;26
140;140;8011;30;1333;assemble a PCB with fuse left and right ;304;12.05.2021;11:45:25;12.05.2021;11:47:17;8;6;26
141;141;8011;40;1333;feed part from magazin;200;12.05.2021;11:48:12;12.05.2021;11:48:14;6;63;26
142;142;8011;50;1333;pressing for time in seconds;110;12.05.2021;11:48:29;12.05.2021;11:48:32;7;14;26
143;143;8011;60;1333;store a part from stopper 2;211;12.05.2021;11:50:08;12.05.2021;11:50:20;5;1126;26
144;144;8011;10;1333;release a defined part on stopper 1;212;12.05.2021;11:37:52;12.05.2021;11:38:06;5;0;27
145;145;8011;20;1333;feed part from magazin;200;12.05.2021;11:38:33;12.05.2021;11:38:35;11;27;27
146;146;8011;30;1333;assemble a PCB with fuse left and right ;304;12.05.2021;11:49:18;12.05.2021;11:51:09;8;6;27
147;147;8011;40;1333;feed part from magazin;200;12.05.2021;11:51:53;12.05.2021;11:51:55;6;63;27
148;148;8011;50;1333;pressing for time in seconds;110;12.05.2021;11:52:08;12.05.2021;11:52:11;7;14;27
149;149;8011;60;1333;store a part from stopper 2;211;12.05.2021;11:54:25;12.05.2021;11:54:37;5;1126;27
150;150;8110;10;1334;release a defined part on stopper 1;212;12.05.2021;11:50:21;12.05.2021;11:50:34;5;0;error
151;151;8110;60;1334;store a part from stopper 2;211;12.05.2021;12:08:40;12.05.2021;12:08:53;5;1126;error
152;152;8111;10;1334;release a defined part on stopper 1;212;12.05.2021;11:52:54;12.05.2021;11:53:08;5;0;30
153;153;8111;20;1334;feed part from magazin;200;12.05.2021;11:53:35;12.05.2021;11:53:37;11;27;30
154;154;8111;30;1334;assembly part with defined PCB;300;12.05.2021;11:58:25;12.05.2021;12:00:03;8;6;30
155;155;8111;40;1334;feed part from magazin;200;12.05.2021;12:01:58;12.05.2021;12:02:01;6;63;30
156;156;8111;50;1334;pressing for time in seconds;110;12.05.2021;12:02:21;12.05.2021;12:02:23;7;14;30
157;157;8111;60;1334;store a part from stopper 2;211;12.05.2021;12:04:06;12.05.2021;12:04:18;5;1126;30
158;158;8111;10;1334;release a defined part on stopper 1;212;12.05.2021;11:53:11;12.05.2021;11:53:25;5;0;31
159;159;8111;20;1334;feed part from magazin;200;12.05.2021;11:53:51;12.05.2021;11:53:54;11;27;31
160;160;8111;30;1334;assembly part with defined PCB;300;12.05.2021;12:00:28;12.05.2021;12:02:07;8;6;31
161;161;8111;40;1334;feed part from magazin;200;12.05.2021;12:03:00;12.05.2021;12:03:02;6;63;31
162;162;8111;50;1334;pressing for time in seconds;110;12.05.2021;12:03:15;12.05.2021;12:03:18;7;14;31
163;163;8111;60;1334;store a part from stopper 2;211;12.05.2021;12:04:34;12.05.2021;12:04:48;5;1126;31
164;164;8111;10;1334;release a defined part on stopper 1;212;12.05.2021;11:53:34;12.05.2021;11:53:49;5;0;error
165;165;8111;20;1334;feed part from magazin;200;12.05.2021;11:54:16;12.05.2021;11:54:18;11;27;error
166;166;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:27:15;12.05.2021;10:29:06;8;6;error
167;167;8011;40;1330;feed part from magazin;200;12.05.2021;10:29:48;12.05.2021;10:29:50;6;63;error
168;168;8011;50;1330;pressing for time in seconds;110;12.05.2021;10:30:08;12.05.2021;10:30:10;7;14;error
169;169;8011;60;1330;store a part from stopper 2;211;12.05.2021;10:32:10;12.05.2021;10:32:22;5;1126;error
170;170;8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:20:40;12.05.2021;10:20:55;5;0;34
171;171;8011;20;1330;feed part from magazin;200;12.05.2021;10:21:22;12.05.2021;10:21:24;11;27;34
172;172;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:33:21;12.05.2021;10:35:14;8;6;34
173;173;8011;40;1330;feed part from magazin;200;12.05.2021;10:35:56;12.05.2021;10:35:58;6;63;34
174;174;8011;50;1330;pressing for time in seconds;110;12.05.2021;10:36:20;12.05.2021;10:36:22;7;14;34
175;175;8011;60;1330;store a part from stopper 2;211;12.05.2021;10:38:06;12.05.2021;10:38:19;5;1126;34
176;176;8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:20:59;12.05.2021;10:21:14;5;0;35
177;177;8011;20;1330;feed part from magazin;200;12.05.2021;10:21:41;12.05.2021;10:21:43;11;27;35
178;178;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:35:18;12.05.2021;10:37:10;8;6;35
179;179;8011;40;1330;feed part from magazin;200;12.05.2021;10:38:07;12.05.2021;10:38:09;6;63;35
180;180;8011;50;1330;pressing for time in seconds;110;12.05.2021;10:38:23;12.05.2021;10:38:25;7;14;35
181;181;8011;60;1330;store a part from stopper 2;211;12.05.2021;10:40:01;12.05.2021;10:40:15;5;1126;35
182;182;8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:21:18;12.05.2021;10:21:33;5;0;36
183;183;8011;20;1330;feed part from magazin;200;12.05.2021;10:22:00;12.05.2021;10:22:02;11;27;36
184;184;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:29:11;12.05.2021;10:31:03;8;6;36
185;185;8011;40;1330;feed part from magazin;200;12.05.2021;10:32:15;12.05.2021;10:32:17;6;63;36
186;186;8011;50;1330;pressing for time in seconds;110;12.05.2021;10:32:32;12.05.2021;10:32:36;7;14;36
187;187;8011;60;1330;store a part from stopper 2;211;12.05.2021;10:34:20;12.05.2021;10:34:33;5;1126;36
188;188;8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:22:06;12.05.2021;10:22:20;5;0;37
189;189;8011;20;1330;feed part from magazin;200;12.05.2021;10:22:47;12.05.2021;10:22:49;11;27;37
190;190;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:31:07;12.05.2021;10:32:59;8;6;37
191;191;8011;40;1330;feed part from magazin;200;12.05.2021;10:33:43;12.05.2021;10:33:45;6;63;37
192;192;8011;50;1330;pressing for time in seconds;110;12.05.2021;10:33:58;12.05.2021;10:34:00;7;14;37
193;193;8011;60;1330;store a part from stopper 2;211;12.05.2021;10:35:30;12.05.2021;10:35:45;5;1126;37
194;194;8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:24:39;12.05.2021;10:24:53;5;0;38
195;195;8011;20;1330;feed part from magazin;200;12.05.2021;10:25:20;12.05.2021;10:25:22;11;27;38
196;196;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:39:11;12.05.2021;10:41:03;8;6;38
197;197;8011;40;1330;feed part from magazin;200;12.05.2021;10:41:46;12.05.2021;10:41:48;6;63;38
198;198;8011;50;1330;pressing for time in seconds;110;12.05.2021;10:42:03;12.05.2021;10:42:06;7;14;38
199;199;8011;60;1330;store a part from stopper 2;211;12.05.2021;10:43:51;12.05.2021;10:44:02;5;1126;38
200;200;8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:25:47;12.05.2021;10:25:59;5;0;39
201;201;8011;20;1330;feed part from magazin;200;12.05.2021;10:26:26;12.05.2021;10:26:28;11;27;39
202;202;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:37:14;12.05.2021;10:39:06;8;6;39
203;203;8011;40;1330;feed part from magazin;200;12.05.2021;10:39:50;12.05.2021;10:39:53;6;63;39
204;204;8011;50;1330;pressing for time in seconds;110;12.05.2021;10:40:06;12.05.2021;10:40:08;7;14;39
205;205;8011;60;1330;store a part from stopper 2;211;12.05.2021;10:41:49;12.05.2021;10:42:01;5;1126;39
206;206;8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:28:42;12.05.2021;10:28:54;5;0;40
207;207;8011;20;1330;feed part from magazin;200;12.05.2021;10:29:21;12.05.2021;10:29:22;11;27;40
208;208;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:41:08;12.05.2021;10:43:00;8;6;40
209;209;8011;40;1330;feed part from magazin;200;12.05.2021;10:44:05;12.05.2021;10:44:07;6;63;40
210;210;8011;50;1330;pressing for time in seconds;110;12.05.2021;10:44:22;12.05.2021;10:44:25;7;14;40
211;211;8011;60;1330;store a part from stopper 2;211;12.05.2021;10:46:07;12.05.2021;10:46:18;5;1126;40
212;212;8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:08:24;12.05.2021;11:08:38;5;0;41
213;213;8111;20;1332;feed part from magazin;200;12.05.2021;11:09:05;12.05.2021;11:09:07;11;27;41
214;214;8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:11:18;12.05.2021;11:12:58;8;6;41
215;215;8111;40;1332;feed part from magazin;200;12.05.2021;11:13:44;12.05.2021;11:13:46;6;63;41
216;216;8111;50;1332;pressing for time in seconds;110;12.05.2021;11:14:00;12.05.2021;11:14:04;7;14;41
217;217;8111;60;1332;store a part from stopper 2;211;12.05.2021;11:15:26;12.05.2021;11:15:39;5;1126;41
218;218;8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:08:41;12.05.2021;11:08:54;5;0;42
219;219;8111;20;1332;feed part from magazin;200;12.05.2021;11:09:21;12.05.2021;11:09:23;11;27;42
220;220;8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:13:21;12.05.2021;11:15:01;8;6;42
221;221;8111;40;1332;feed part from magazin;200;12.05.2021;11:16:13;12.05.2021;11:16:16;6;63;42
222;222;8111;50;1332;pressing for time in seconds;110;12.05.2021;11:16:37;12.05.2021;11:16:45;7;14;42
223;223;8111;60;1332;store a part from stopper 2;211;12.05.2021;11:19:09;12.05.2021;11:19:21;5;1126;42
224;224;8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:09:17;12.05.2021;11:09:29;5;0;error
225;225;8111;20;1332;feed part from magazin;200;12.05.2021;11:09:56;12.05.2021;11:09:58;11;27;error
226;226;8010;50;1333;pressing for time in seconds;110;12.05.2021;11:40:34;12.05.2021;11:40:41;7;14;error
227;227;8010;60;1333;store a part from stopper 2;211;12.05.2021;11:42:25;12.05.2021;11:42:37;5;1126;error
228;228;8010;10;1333;release a defined part on stopper 1;212;12.05.2021;11:27:21;12.05.2021;11:27:35;5;0;45
229;229;8010;20;1333;feed part from magazin;200;12.05.2021;11:28:02;12.05.2021;11:28:04;11;27;45
230;230;8010;30;1333;assemble a PCB with one fuse left;302;12.05.2021;11:43:38;12.05.2021;11:45:21;8;6;45
231;231;8010;40;1333;feed part from magazin;200;12.05.2021;11:46:06;12.05.2021;11:46:08;6;63;45
232;232;8010;50;1333;pressing for time in seconds;110;12.05.2021;11:46:27;12.05.2021;11:46:29;7;14;45
233;233;8010;60;1333;store a part from stopper 2;211;12.05.2021;11:48:09;12.05.2021;11:48:21;5;1126;45
234;234;8010;10;1333;release a defined part on stopper 1;212;12.05.2021;11:27:38;12.05.2021;11:27:52;5;0;46
235;235;8010;20;1333;feed part from magazin;200;12.05.2021;11:28:19;12.05.2021;11:28:22;11;27;46
236;236;8010;30;1333;assemble a PCB with one fuse left;302;12.05.2021;11:41:28;12.05.2021;11:43:11;8;6;46
237;237;8010;40;1333;feed part from magazin;200;12.05.2021;11:44:02;12.05.2021;11:44:05;6;63;46
238;238;8010;50;1333;pressing for time in seconds;110;12.05.2021;11:44:25;12.05.2021;11:44:27;7;14;46
239;239;8010;60;1333;store a part from stopper 2;211;12.05.2021;11:46:02;12.05.2021;11:46:14;5;1126;46
240;240;8011;10;1333;release a defined part on stopper 1;212;12.05.2021;11:27:56;12.05.2021;11:28:09;5;0;47
241;241;8011;20;1333;feed part from magazin;200;12.05.2021;11:28:35;12.05.2021;11:28:37;11;27;47
242;242;8011;30;1333;assemble a PCB with fuse left and right ;304;12.05.2021;11:39:31;12.05.2021;11:41:23;8;6;47
243;243;8011;40;1333;feed part from magazin;200;12.05.2021;11:42:16;12.05.2021;11:42:18;6;63;47
