;index;Produktvariante;Prozessschritt;Auftragsnummer;Prozessbeschreibung;Prozessnummer;Startdatum;Startzeit;Enddatum;Endzeit;Arbeitsstation;Transportzeit;Start;Ende;werkstueckID
34;34;8010;50;1329;pressing for time in seconds;110;12.05.21;2022-09-22 10:24:48;12.05.21;10:24:51;7;14;2021-12-05 10:24:48;2021-12-05 10:24:51;10
35;35;8010;60;1329;store a part from stopper 2;211;12.05.21;2022-09-22 10:26:12;12.05.21;10:26:24;5;1126;2021-12-05 10:26:12;2021-12-05 10:26:24;10
60;60;8011;10;1330;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:18:10;12.05.21;10:18:24;5;0;2021-12-05 10:18:10;2021-12-05 10:18:24;11
61;61;8011;20;1330;feed part from magazin;200;12.05.21;2022-09-22 10:18:52;12.05.21;10:18:54;11;27;2021-12-05 10:18:52;2021-12-05 10:18:54;11
62;62;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 10:23:24;12.05.21;10:25:15;8;6;2021-12-05 10:23:24;2021-12-05 10:25:15;11
63;63;8011;40;1330;feed part from magazin;200;12.05.21;2022-09-22 10:26:26;12.05.21;10:26:28;6;63;2021-12-05 10:26:26;2021-12-05 10:26:28;11
64;64;8011;50;1330;pressing for time in seconds;110;12.05.21;2022-09-22 10:26:42;12.05.21;10:26:44;7;14;2021-12-05 10:26:42;2021-12-05 10:26:44;11
65;65;8011;60;1330;store a part from stopper 2;211;12.05.21;2022-09-22 10:28:29;12.05.21;10:28:41;5;1126;2021-12-05 10:28:29;2021-12-05 10:28:41;11
66;66;8011;10;1330;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:18:53;12.05.21;10:19:07;5;0;2021-12-05 10:18:53;2021-12-05 10:19:07;12
67;67;8011;20;1330;feed part from magazin;200;12.05.21;2022-09-22 10:19:34;12.05.21;10:19:36;11;27;2021-12-05 10:19:34;2021-12-05 10:19:36;12
68;68;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 10:25:20;12.05.21;10:27:11;8;6;2021-12-05 10:25:20;2021-12-05 10:27:11;12
69;69;8011;40;1330;feed part from magazin;200;12.05.21;2022-09-22 10:28:10;12.05.21;10:28:12;6;63;2021-12-05 10:28:10;2021-12-05 10:28:12;12
70;70;8011;50;1330;pressing for time in seconds;110;12.05.21;2022-09-22 10:28:30;12.05.21;10:28:34;7;14;2021-12-05 10:28:30;2021-12-05 10:28:34;12
71;71;8011;60;1330;store a part from stopper 2;211;12.05.21;2022-09-22 10:30:21;12.05.21;10:30:32;5;1126;2021-12-05 10:30:21;2021-12-05 10:30:32;12
72;72;8011;10;1330;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:19:11;12.05.21;10:19:26;5;0;2021-12-05 10:19:11;2021-12-05 10:19:26;13
73;73;8011;20;1330;feed part from magazin;200;12.05.21;2022-09-22 10:19:53;12.05.21;10:19:55;11;27;2021-12-05 10:19:53;2021-12-05 10:19:55;13
166;166;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 10:27:15;12.05.21;10:29:06;8;6;2021-12-05 10:27:15;2021-12-05 10:29:06;13
167;167;8011;40;1330;feed part from magazin;200;12.05.21;2022-09-22 10:29:48;12.05.21;10:29:50;6;63;2021-12-05 10:29:48;2021-12-05 10:29:50;13
168;168;8011;50;1330;pressing for time in seconds;110;12.05.21;2022-09-22 10:30:08;12.05.21;10:30:10;7;14;2021-12-05 10:30:08;2021-12-05 10:30:10;13
169;169;8011;60;1330;store a part from stopper 2;211;12.05.21;2022-09-22 10:32:10;12.05.21;10:32:22;5;1126;2021-12-05 10:32:10;2021-12-05 10:32:22;13
170;170;8011;10;1330;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:20:40;12.05.21;10:20:55;5;0;2021-12-05 10:20:40;2021-12-05 10:20:55;14
171;171;8011;20;1330;feed part from magazin;200;12.05.21;2022-09-22 10:21:22;12.05.21;10:21:24;11;27;2021-12-05 10:21:22;2021-12-05 10:21:24;14
184;184;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 10:29:11;12.05.21;10:31:03;8;6;2021-12-05 10:29:11;2021-12-05 10:31:03;14
185;185;8011;40;1330;feed part from magazin;200;12.05.21;2022-09-22 10:32:15;12.05.21;10:32:17;6;63;2021-12-05 10:32:15;2021-12-05 10:32:17;14
186;186;8011;50;1330;pressing for time in seconds;110;12.05.21;2022-09-22 10:32:32;12.05.21;10:32:36;7;14;2021-12-05 10:32:32;2021-12-05 10:32:36;14
187;187;8011;60;1330;store a part from stopper 2;211;12.05.21;2022-09-22 10:34:20;12.05.21;10:34:33;5;1126;2021-12-05 10:34:20;2021-12-05 10:34:33;14
176;176;8011;10;1330;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:20:59;12.05.21;10:21:14;5;0;2021-12-05 10:20:59;2021-12-05 10:21:14;15
177;177;8011;20;1330;feed part from magazin;200;12.05.21;2022-09-22 10:21:41;12.05.21;10:21:43;11;27;2021-12-05 10:21:41;2021-12-05 10:21:43;15
190;190;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 10:31:07;12.05.21;10:32:59;8;6;2021-12-05 10:31:07;2021-12-05 10:32:59;15
191;191;8011;40;1330;feed part from magazin;200;12.05.21;2022-09-22 10:33:43;12.05.21;10:33:45;6;63;2021-12-05 10:33:43;2021-12-05 10:33:45;15
192;192;8011;50;1330;pressing for time in seconds;110;12.05.21;2022-09-22 10:33:58;12.05.21;10:34:00;7;14;2021-12-05 10:33:58;2021-12-05 10:34:00;15
193;193;8011;60;1330;store a part from stopper 2;211;12.05.21;2022-09-22 10:35:30;12.05.21;10:35:45;5;1126;2021-12-05 10:35:30;2021-12-05 10:35:45;15
182;182;8011;10;1330;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:21:18;12.05.21;10:21:33;5;0;2021-12-05 10:21:18;2021-12-05 10:21:33;16
183;183;8011;20;1330;feed part from magazin;200;12.05.21;2022-09-22 10:22:00;12.05.21;10:22:02;11;27;2021-12-05 10:22:00;2021-12-05 10:22:02;16
172;172;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 10:33:21;12.05.21;10:35:14;8;6;2021-12-05 10:33:21;2021-12-05 10:35:14;16
173;173;8011;40;1330;feed part from magazin;200;12.05.21;2022-09-22 10:35:56;12.05.21;10:35:58;6;63;2021-12-05 10:35:56;2021-12-05 10:35:58;16
174;174;8011;50;1330;pressing for time in seconds;110;12.05.21;2022-09-22 10:36:20;12.05.21;10:36:22;7;14;2021-12-05 10:36:20;2021-12-05 10:36:22;16
175;175;8011;60;1330;store a part from stopper 2;211;12.05.21;2022-09-22 10:38:06;12.05.21;10:38:19;5;1126;2021-12-05 10:38:06;2021-12-05 10:38:19;16
188;188;8011;10;1330;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:22:06;12.05.21;10:22:20;5;0;2021-12-05 10:22:06;2021-12-05 10:22:20;17
189;189;8011;20;1330;feed part from magazin;200;12.05.21;2022-09-22 10:22:47;12.05.21;10:22:49;11;27;2021-12-05 10:22:47;2021-12-05 10:22:49;17
178;178;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 10:35:18;12.05.21;10:37:10;8;6;2021-12-05 10:35:18;2021-12-05 10:37:10;17
179;179;8011;40;1330;feed part from magazin;200;12.05.21;2022-09-22 10:38:07;12.05.21;10:38:09;6;63;2021-12-05 10:38:07;2021-12-05 10:38:09;17
180;180;8011;50;1330;pressing for time in seconds;110;12.05.21;2022-09-22 10:38:23;12.05.21;10:38:25;7;14;2021-12-05 10:38:23;2021-12-05 10:38:25;17
181;181;8011;60;1330;store a part from stopper 2;211;12.05.21;2022-09-22 10:40:01;12.05.21;10:40:15;5;1126;2021-12-05 10:40:01;2021-12-05 10:40:15;17
194;194;8011;10;1330;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:24:39;12.05.21;10:24:53;5;0;2021-12-05 10:24:39;2021-12-05 10:24:53;18
195;195;8011;20;1330;feed part from magazin;200;12.05.21;2022-09-22 10:25:20;12.05.21;10:25:22;11;27;2021-12-05 10:25:20;2021-12-05 10:25:22;18
202;202;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 10:37:14;12.05.21;10:39:06;8;6;2021-12-05 10:37:14;2021-12-05 10:39:06;18
203;203;8011;40;1330;feed part from magazin;200;12.05.21;2022-09-22 10:39:50;12.05.21;10:39:53;6;63;2021-12-05 10:39:50;2021-12-05 10:39:53;18
204;204;8011;50;1330;pressing for time in seconds;110;12.05.21;2022-09-22 10:40:06;12.05.21;10:40:08;7;14;2021-12-05 10:40:06;2021-12-05 10:40:08;18
205;205;8011;60;1330;store a part from stopper 2;211;12.05.21;2022-09-22 10:41:49;12.05.21;10:42:01;5;1126;2021-12-05 10:41:49;2021-12-05 10:42:01;18
200;200;8011;10;1330;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:25:47;12.05.21;10:25:59;5;0;2021-12-05 10:25:47;2021-12-05 10:25:59;19
201;201;8011;20;1330;feed part from magazin;200;12.05.21;2022-09-22 10:26:26;12.05.21;10:26:28;11;27;2021-12-05 10:26:26;2021-12-05 10:26:28;19
196;196;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 10:39:11;12.05.21;10:41:03;8;6;2021-12-05 10:39:11;2021-12-05 10:41:03;19
197;197;8011;40;1330;feed part from magazin;200;12.05.21;2022-09-22 10:41:46;12.05.21;10:41:48;6;63;2021-12-05 10:41:46;2021-12-05 10:41:48;19
198;198;8011;50;1330;pressing for time in seconds;110;12.05.21;2022-09-22 10:42:03;12.05.21;10:42:06;7;14;2021-12-05 10:42:03;2021-12-05 10:42:06;19
199;199;8011;60;1330;store a part from stopper 2;211;12.05.21;2022-09-22 10:43:51;12.05.21;10:44:02;5;1126;2021-12-05 10:43:51;2021-12-05 10:44:02;19
206;206;8011;10;1330;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:28:42;12.05.21;10:28:54;5;0;2021-12-05 10:28:42;2021-12-05 10:28:54;20
207;207;8011;20;1330;feed part from magazin;200;12.05.21;2022-09-22 10:29:21;12.05.21;10:29:22;11;27;2021-12-05 10:29:21;2021-12-05 10:29:22;20
208;208;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 10:41:08;12.05.21;10:43:00;8;6;2021-12-05 10:41:08;2021-12-05 10:43:00;20
209;209;8011;40;1330;feed part from magazin;200;12.05.21;2022-09-22 10:44:05;12.05.21;10:44:07;6;63;2021-12-05 10:44:05;2021-12-05 10:44:07;20
210;210;8011;50;1330;pressing for time in seconds;110;12.05.21;2022-09-22 10:44:22;12.05.21;10:44:25;7;14;2021-12-05 10:44:22;2021-12-05 10:44:25;20
211;211;8011;60;1330;store a part from stopper 2;211;12.05.21;2022-09-22 10:46:07;12.05.21;10:46:18;5;1126;2021-12-05 10:46:07;2021-12-05 10:46:18;20
212;212;8111;10;1332;release a defined part on stopper 1;212;12.05.21;2022-09-22 11:08:24;12.05.21;11:08:38;5;0;2021-12-05 11:08:24;2021-12-05 11:08:38;21
213;213;8111;20;1332;feed part from magazin;200;12.05.21;2022-09-22 11:09:05;12.05.21;11:09:07;11;27;2021-12-05 11:09:05;2021-12-05 11:09:07;21
214;214;8111;30;1332;assembly part with defined PCB;300;12.05.21;2022-09-22 11:11:18;12.05.21;11:12:58;8;6;2021-12-05 11:11:18;2021-12-05 11:12:58;21
215;215;8111;40;1332;feed part from magazin;200;12.05.21;2022-09-22 11:13:44;12.05.21;11:13:46;6;63;2021-12-05 11:13:44;2021-12-05 11:13:46;21
216;216;8111;50;1332;pressing for time in seconds;110;12.05.21;2022-09-22 11:14:00;12.05.21;11:14:04;7;14;2021-12-05 11:14:00;2021-12-05 11:14:04;21
217;217;8111;60;1332;store a part from stopper 2;211;12.05.21;2022-09-22 11:15:26;12.05.21;11:15:39;5;1126;2021-12-05 11:15:26;2021-12-05 11:15:39;21
218;218;8111;10;1332;release a defined part on stopper 1;212;12.05.21;2022-09-22 11:08:41;12.05.21;11:08:54;5;0;2021-12-05 11:08:41;2021-12-05 11:08:54;22
219;219;8111;20;1332;feed part from magazin;200;12.05.21;2022-09-22 11:09:21;12.05.21;11:09:23;11;27;2021-12-05 11:09:21;2021-12-05 11:09:23;22
220;220;8111;30;1332;assembly part with defined PCB;300;12.05.21;2022-09-22 11:13:21;12.05.21;11:15:01;8;6;2021-12-05 11:13:21;2021-12-05 11:15:01;22
221;221;8111;40;1332;feed part from magazin;200;12.05.21;2022-09-22 11:16:13;12.05.21;11:16:16;6;63;2021-12-05 11:16:13;2021-12-05 11:16:16;22
222;222;8111;50;1332;pressing for time in seconds;110;12.05.21;2022-09-22 11:16:37;12.05.21;11:16:45;7;14;2021-12-05 11:16:37;2021-12-05 11:16:45;22
223;223;8111;60;1332;store a part from stopper 2;211;12.05.21;2022-09-22 11:19:09;12.05.21;11:19:21;5;1126;2021-12-05 11:19:09;2021-12-05 11:19:21;22
224;224;8111;10;1332;release a defined part on stopper 1;212;12.05.21;2022-09-22 11:09:17;12.05.21;11:09:29;5;0;2021-12-05 11:09:17;2021-12-05 11:09:29;23
225;225;8111;20;1332;feed part from magazin;200;12.05.21;2022-09-22 11:09:56;12.05.21;11:09:58;11;27;2021-12-05 11:09:56;2021-12-05 11:09:58;23
74;74;8111;30;1332;assembly part with defined PCB;300;12.05.21;2022-09-22 11:15:05;12.05.21;11:16:45;8;6;2021-12-05 11:15:05;2021-12-05 11:16:45;23
75;75;8111;40;1332;feed part from magazin;200;12.05.21;2022-09-22 11:17:47;12.05.21;11:17:50;6;63;2021-12-05 11:17:47;2021-12-05 11:17:50;23
76;76;8111;50;1332;pressing for time in seconds;110;12.05.21;2022-09-22 11:18:03;12.05.21;11:18:05;7;14;2021-12-05 11:18:03;2021-12-05 11:18:05;23
77;77;8111;60;1332;store a part from stopper 2;211;12.05.21;2022-09-22 11:19:48;12.05.21;11:20:03;5;1126;2021-12-05 11:19:48;2021-12-05 11:20:03;23
78;78;8111;10;1332;release a defined part on stopper 1;212;12.05.21;2022-09-22 11:09:33;12.05.21;11:09:46;5;0;2021-12-05 11:09:33;2021-12-05 11:09:46;24
79;79;8111;20;1332;feed part from magazin;200;12.05.21;2022-09-22 11:10:13;12.05.21;11:10:15;11;27;2021-12-05 11:10:13;2021-12-05 11:10:15;24
86;86;8111;30;1332;assembly part with defined PCB;300;12.05.21;2022-09-22 11:16:49;12.05.21;11:18:29;8;6;2021-12-05 11:16:49;2021-12-05 11:18:29;24
87;87;8111;40;1332;feed part from magazin;200;12.05.21;2022-09-22 11:19:30;12.05.21;11:19:32;6;63;2021-12-05 11:19:30;2021-12-05 11:19:32;24
88;88;8111;50;1332;pressing for time in seconds;110;12.05.21;2022-09-22 11:19:45;12.05.21;11:19:48;7;14;2021-12-05 11:19:45;2021-12-05 11:19:48;24
89;89;8111;60;1332;store a part from stopper 2;211;12.05.21;2022-09-22 11:21:39;12.05.21;11:21:51;5;1126;2021-12-05 11:21:39;2021-12-05 11:21:51;24
84;84;8111;10;1332;release a defined part on stopper 1;212;12.05.21;2022-09-22 11:10:16;12.05.21;11:10:30;5;0;2021-12-05 11:10:16;2021-12-05 11:10:30;25
85;85;8111;20;1332;feed part from magazin;200;12.05.21;2022-09-22 11:10:56;12.05.21;11:10:58;11;27;2021-12-05 11:10:56;2021-12-05 11:10:58;25
98;98;8111;30;1332;assembly part with defined PCB;300;12.05.21;2022-09-22 11:18:33;12.05.21;11:20:13;8;6;2021-12-05 11:18:33;2021-12-05 11:20:13;25
99;99;8111;40;1332;feed part from magazin;200;12.05.21;2022-09-22 11:21:01;12.05.21;11:21:04;6;63;2021-12-05 11:21:01;2021-12-05 11:21:04;25
100;100;8111;50;1332;pressing for time in seconds;110;12.05.21;2022-09-22 11:21:22;12.05.21;11:21:25;7;14;2021-12-05 11:21:22;2021-12-05 11:21:25;25
101;101;8111;60;1332;store a part from stopper 2;211;12.05.21;2022-09-22 11:22:57;12.05.21;11:23:09;5;1126;2021-12-05 11:22:57;2021-12-05 11:23:09;25
90;90;8111;10;1332;release a defined part on stopper 1;212;12.05.21;2022-09-22 11:10:33;12.05.21;11:10:47;5;0;2021-12-05 11:10:33;2021-12-05 11:10:47;26
91;91;8111;20;1332;feed part from magazin;200;12.05.21;2022-09-22 11:11:14;12.05.21;11:11:16;11;27;2021-12-05 11:11:14;2021-12-05 11:11:16;26
116;116;8111;30;1332;assembly part with defined PCB;300;12.05.21;2022-09-22 11:20:17;12.05.21;11:21:56;8;6;2021-12-05 11:20:17;2021-12-05 11:21:56;26
117;117;8111;40;1332;feed part from magazin;200;12.05.21;2022-09-22 11:22:42;12.05.21;11:22:44;6;63;2021-12-05 11:22:42;2021-12-05 11:22:44;26
118;118;8111;50;1332;pressing for time in seconds;110;12.05.21;2022-09-22 11:22:57;12.05.21;11:22:59;7;14;2021-12-05 11:22:57;2021-12-05 11:22:59;26
119;119;8111;60;1332;store a part from stopper 2;211;12.05.21;2022-09-22 11:25:38;12.05.21;11:25:50;5;1126;2021-12-05 11:25:38;2021-12-05 11:25:50;26
96;96;8111;10;1332;release a defined part on stopper 1;212;12.05.21;2022-09-22 11:10:57;12.05.21;11:11:10;5;0;2021-12-05 11:10:57;2021-12-05 11:11:10;27
