;level_0;Unnamed: 0;index;Produktvariante;Prozessschritt;Auftragsnummer;Prozessbeschreibung;Prozessnummer;Startdatum;Startzeit;Enddatum;Endzeit;Arbeitsstation;Transportzeit;Start;Ende;werkstueckID;Bearbeitungszeit_s;Transportzeit_s;Durchlaufzeit_s
12;12;12;12;8010;10;1329;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:02:59;12.05.21;10:03:11;5;0;2021-12-05 10:02:59;2021-12-05 10:03:11;3;12.0;0.0;0.0
13;13;13;13;8010;20;1329;feed part from magazin;200;12.05.21;2022-09-22 10:03:38;12.05.21;10:03:41;11;27;2021-12-05 10:03:38;2021-12-05 10:03:41;3;3.0;27.0;0.0
14;14;14;14;8010;30;1329;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 10:08:22;12.05.21;10:10:05;8;6;2021-12-05 10:08:22;2021-12-05 10:10:05;3;103.0;281.0;0.0
15;15;15;15;8010;40;1329;feed part from magazin;200;12.05.21;2022-09-22 10:11:15;12.05.21;10:11:18;6;63;2021-12-05 10:11:15;2021-12-05 10:11:18;3;3.0;70.0;0.0
16;16;16;16;8010;50;1329;pressing for time in seconds;110;12.05.21;2022-09-22 10:11:36;12.05.21;10:11:43;7;14;2021-12-05 10:11:36;2021-12-05 10:11:43;3;7.0;18.0;0.0
17;17;17;17;8010;60;1329;store a part from stopper 2;211;12.05.21;2022-09-22 10:13:18;12.05.21;10:13:30;5;1126;2021-12-05 10:13:18;2021-12-05 10:13:30;3;12.0;95.0;631.0
18;18;18;18;8010;10;1329;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:03:15;12.05.21;10:03:28;5;0;2021-12-05 10:03:15;2021-12-05 10:03:28;4;13.0;0.0;0.0
19;19;19;19;8010;20;1329;feed part from magazin;200;12.05.21;2022-09-22 10:03:55;12.05.21;10:03:57;11;27;2021-12-05 10:03:55;2021-12-05 10:03:57;4;2.0;27.0;0.0
20;20;44;44;8010;30;1329;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 10:10:12;12.05.21;10:11:56;8;6;2021-12-05 10:10:12;2021-12-05 10:11:56;4;104.0;375.0;0.0
21;21;45;45;8010;40;1329;feed part from magazin;200;12.05.21;2022-09-22 10:13:00;12.05.21;10:13:02;6;63;2021-12-05 10:13:00;2021-12-05 10:13:02;4;2.0;64.0;0.0
22;22;46;46;8010;50;1329;pressing for time in seconds;110;12.05.21;2022-09-22 10:13:28;12.05.21;10:13:30;7;14;2021-12-05 10:13:28;2021-12-05 10:13:30;4;2.0;26.0;0.0
23;23;47;47;8010;60;1329;store a part from stopper 2;211;12.05.21;2022-09-22 10:15:02;12.05.21;10:15:14;5;1126;2021-12-05 10:15:02;2021-12-05 10:15:14;4;12.0;92.0;719.0
24;24;24;24;8010;10;1329;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:03:31;12.05.21;10:03:45;5;0;2021-12-05 10:03:31;2021-12-05 10:03:45;5;14.0;0.0;0.0
25;25;25;25;8010;20;1329;feed part from magazin;200;12.05.21;2022-09-22 10:04:12;12.05.21;10:04:14;11;27;2021-12-05 10:04:12;2021-12-05 10:04:14;5;2.0;27.0;0.0
26;26;20;20;8010;30;1329;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 10:12:01;12.05.21;10:13:44;8;6;2021-12-05 10:12:01;2021-12-05 10:13:44;5;103.0;467.00000000000006;0.0
27;27;21;21;8010;40;1329;feed part from magazin;200;12.05.21;2022-09-22 10:14:44;12.05.21;10:14:46;6;63;2021-12-05 10:14:44;2021-12-05 10:14:46;5;2.0;60.00000000000001;0.0
28;28;22;22;8010;50;1329;pressing for time in seconds;110;12.05.21;2022-09-22 10:15:08;12.05.21;10:15:12;7;14;2021-12-05 10:15:08;2021-12-05 10:15:12;5;4.0;22.0;0.0
29;29;23;23;8010;60;1329;store a part from stopper 2;211;12.05.21;2022-09-22 10:16:53;12.05.21;10:17:06;5;1126;2021-12-05 10:16:53;2021-12-05 10:17:06;5;13.0;101.0;815.0
30;30;30;30;8010;10;1329;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:03:49;12.05.21;10:04:02;5;0;2021-12-05 10:03:49;2021-12-05 10:04:02;6;13.0;0.0;0.0
31;31;31;31;8010;20;1329;feed part from magazin;200;12.05.21;2022-09-22 10:04:30;12.05.21;10:04:32;11;27;2021-12-05 10:04:30;2021-12-05 10:04:32;6;2.0;28.0;0.0
32;32;26;26;8010;30;1329;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 10:14:08;12.05.21;10:15:51;8;6;2021-12-05 10:14:08;2021-12-05 10:15:51;6;103.0;576.0;0.0
33;33;27;27;8010;40;1329;feed part from magazin;200;12.05.21;2022-09-22 10:16:41;12.05.21;10:16:44;6;63;2021-12-05 10:16:41;2021-12-05 10:16:44;6;3.0;50.0;0.0
34;34;28;28;8010;50;1329;pressing for time in seconds;110;12.05.21;2022-09-22 10:16:57;12.05.21;10:16:59;7;14;2021-12-05 10:16:57;2021-12-05 10:16:59;6;2.0;13.0;0.0
35;35;29;29;8010;60;1329;store a part from stopper 2;211;12.05.21;2022-09-22 10:18:40;12.05.21;10:18:52;5;1126;2021-12-05 10:18:40;2021-12-05 10:18:52;6;12.0;101.0;903.0
36;36;36;36;8010;10;1329;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:04:06;12.05.21;10:04:20;5;0;2021-12-05 10:04:06;2021-12-05 10:04:20;7;14.0;0.0;0.0
37;37;37;37;8010;20;1329;feed part from magazin;200;12.05.21;2022-09-22 10:04:47;12.05.21;10:04:49;11;27;2021-12-05 10:04:47;2021-12-05 10:04:49;7;2.0;27.0;0.0
38;38;56;56;8010;30;1329;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 10:15:55;12.05.21;10:17:38;8;6;2021-12-05 10:15:55;2021-12-05 10:17:38;7;103.0;666.0;0.0
39;39;57;57;8010;40;1329;feed part from magazin;200;12.05.21;2022-09-22 10:18:25;12.05.21;10:18:27;6;63;2021-12-05 10:18:25;2021-12-05 10:18:27;7;2.0;47.0;0.0
40;40;58;58;8010;50;1329;pressing for time in seconds;110;12.05.21;2022-09-22 10:18:42;12.05.21;10:18:44;7;14;2021-12-05 10:18:42;2021-12-05 10:18:44;7;2.0;15.000000000000002;0.0
41;41;59;59;8010;60;1329;store a part from stopper 2;211;12.05.21;2022-09-22 10:20:27;12.05.21;10:20:39;5;1126;2021-12-05 10:20:27;2021-12-05 10:20:39;7;12.0;103.0;993.0000000000001
42;42;42;42;8010;10;1329;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:04:24;12.05.21;10:04:38;5;0;2021-12-05 10:04:24;2021-12-05 10:04:38;8;14.0;0.0;0.0
43;43;43;43;8010;20;1329;feed part from magazin;200;12.05.21;2022-09-22 10:05:05;12.05.21;10:05:07;11;27;2021-12-05 10:05:05;2021-12-05 10:05:07;8;2.0;27.0;0.0
44;44;50;50;8010;30;1329;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 10:17:43;12.05.21;10:19:26;8;6;2021-12-05 10:17:43;2021-12-05 10:19:26;8;103.0;756.0;0.0
45;45;51;51;8010;40;1329;feed part from magazin;200;12.05.21;2022-09-22 10:20:09;12.05.21;10:20:11;6;63;2021-12-05 10:20:09;2021-12-05 10:20:11;8;2.0;43.0;0.0
46;46;52;52;8010;50;1329;pressing for time in seconds;110;12.05.21;2022-09-22 10:20:26;12.05.21;10:20:29;7;14;2021-12-05 10:20:26;2021-12-05 10:20:29;8;3.0;15.000000000000002;0.0
47;47;53;53;8010;60;1329;store a part from stopper 2;211;12.05.21;2022-09-22 10:22:35;12.05.21;10:22:47;5;1126;2021-12-05 10:22:35;2021-12-05 10:22:47;8;12.0;126.00000000000001;1103.0
48;48;48;48;8010;10;1329;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:04:41;12.05.21;10:04:56;5;0;2021-12-05 10:04:41;2021-12-05 10:04:56;9;15.000000000000002;0.0;0.0
49;49;49;49;8010;20;1329;feed part from magazin;200;12.05.21;2022-09-22 10:05:23;12.05.21;10:05:25;11;27;2021-12-05 10:05:23;2021-12-05 10:05:25;9;2.0;27.0;0.0
50;50;38;38;8010;30;1329;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 10:19:30;12.05.21;10:21:13;8;6;2021-12-05 10:19:30;2021-12-05 10:21:13;9;103.0;845.0;0.0
51;51;39;39;8010;40;1329;feed part from magazin;200;12.05.21;2022-09-22 10:21:55;12.05.21;10:21:57;6;63;2021-12-05 10:21:55;2021-12-05 10:21:57;9;2.0;42.0;0.0
52;52;40;40;8010;50;1329;pressing for time in seconds;110;12.05.21;2022-09-22 10:22:13;12.05.21;10:22:15;7;14;2021-12-05 10:22:13;2021-12-05 10:22:15;9;2.0;16.0;0.0
53;53;41;41;8010;60;1329;store a part from stopper 2;211;12.05.21;2022-09-22 10:23:50;12.05.21;10:24:03;5;1126;2021-12-05 10:23:50;2021-12-05 10:24:03;9;13.0;95.0;1162.0
54;54;54;54;8010;10;1329;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:05:00;12.05.21;10:05:15;5;0;2021-12-05 10:05:00;2021-12-05 10:05:15;10;15.000000000000002;0.0;0.0
55;55;55;55;8010;20;1329;feed part from magazin;200;12.05.21;2022-09-22 10:05:42;12.05.21;10:05:44;11;27;2021-12-05 10:05:42;2021-12-05 10:05:44;10;2.0;27.0;0.0
56;56;32;32;8010;30;1329;assemble a PCB with one fuse left;302;12.05.21;2022-09-22 10:21:18;12.05.21;10:23:01;8;6;2021-12-05 10:21:18;2021-12-05 10:23:01;10;103.0;934.0000000000001;0.0
57;57;33;33;8010;40;1329;feed part from magazin;200;12.05.21;2022-09-22 10:24:29;12.05.21;10:24:31;6;63;2021-12-05 10:24:29;2021-12-05 10:24:31;10;2.0;88.0;0.0
58;58;34;34;8010;50;1329;pressing for time in seconds;110;12.05.21;2022-09-22 10:24:48;12.05.21;10:24:51;7;14;2021-12-05 10:24:48;2021-12-05 10:24:51;10;3.0;17.0;0.0
59;59;35;35;8010;60;1329;store a part from stopper 2;211;12.05.21;2022-09-22 10:26:12;12.05.21;10:26:24;5;1126;2021-12-05 10:26:12;2021-12-05 10:26:24;10;12.0;81.0;1284.0
60;60;60;60;8011;10;1330;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:18:10;12.05.21;10:18:24;5;0;2021-12-05 10:18:10;2021-12-05 10:18:24;11;14.0;0.0;0.0
61;61;61;61;8011;20;1330;feed part from magazin;200;12.05.21;2022-09-22 10:18:52;12.05.21;10:18:54;11;27;2021-12-05 10:18:52;2021-12-05 10:18:54;11;2.0;28.0;0.0
62;62;62;62;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 10:23:24;12.05.21;10:25:15;8;6;2021-12-05 10:23:24;2021-12-05 10:25:15;11;111.0;270.0;0.0
63;63;63;63;8011;40;1330;feed part from magazin;200;12.05.21;2022-09-22 10:26:26;12.05.21;10:26:28;6;63;2021-12-05 10:26:26;2021-12-05 10:26:28;11;2.0;71.0;0.0
64;64;64;64;8011;50;1330;pressing for time in seconds;110;12.05.21;2022-09-22 10:26:42;12.05.21;10:26:44;7;14;2021-12-05 10:26:42;2021-12-05 10:26:44;11;2.0;14.0;0.0
65;65;65;65;8011;60;1330;store a part from stopper 2;211;12.05.21;2022-09-22 10:28:29;12.05.21;10:28:41;5;1126;2021-12-05 10:28:29;2021-12-05 10:28:41;11;12.0;105.0;631.0
66;66;66;66;8011;10;1330;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:18:53;12.05.21;10:19:07;5;0;2021-12-05 10:18:53;2021-12-05 10:19:07;12;14.0;0.0;0.0
67;67;67;67;8011;20;1330;feed part from magazin;200;12.05.21;2022-09-22 10:19:34;12.05.21;10:19:36;11;27;2021-12-05 10:19:34;2021-12-05 10:19:36;12;2.0;27.0;0.0
68;68;68;68;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 10:25:20;12.05.21;10:27:11;8;6;2021-12-05 10:25:20;2021-12-05 10:27:11;12;111.0;344.0;0.0
69;69;69;69;8011;40;1330;feed part from magazin;200;12.05.21;2022-09-22 10:28:10;12.05.21;10:28:12;6;63;2021-12-05 10:28:10;2021-12-05 10:28:12;12;2.0;59.00000000000001;0.0
70;70;70;70;8011;50;1330;pressing for time in seconds;110;12.05.21;2022-09-22 10:28:30;12.05.21;10:28:34;7;14;2021-12-05 10:28:30;2021-12-05 10:28:34;12;4.0;18.0;0.0
71;71;71;71;8011;60;1330;store a part from stopper 2;211;12.05.21;2022-09-22 10:30:21;12.05.21;10:30:32;5;1126;2021-12-05 10:30:21;2021-12-05 10:30:32;12;11.0;107.0;699.0
72;72;72;72;8011;10;1330;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:19:11;12.05.21;10:19:26;5;0;2021-12-05 10:19:11;2021-12-05 10:19:26;13;15.000000000000002;0.0;0.0
73;73;73;73;8011;20;1330;feed part from magazin;200;12.05.21;2022-09-22 10:19:53;12.05.21;10:19:55;11;27;2021-12-05 10:19:53;2021-12-05 10:19:55;13;2.0;27.0;0.0
74;74;166;166;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 10:27:15;12.05.21;10:29:06;8;6;2021-12-05 10:27:15;2021-12-05 10:29:06;13;111.0;440.0;0.0
75;75;167;167;8011;40;1330;feed part from magazin;200;12.05.21;2022-09-22 10:29:48;12.05.21;10:29:50;6;63;2021-12-05 10:29:48;2021-12-05 10:29:50;13;2.0;42.0;0.0
76;76;168;168;8011;50;1330;pressing for time in seconds;110;12.05.21;2022-09-22 10:30:08;12.05.21;10:30:10;7;14;2021-12-05 10:30:08;2021-12-05 10:30:10;13;2.0;18.0;0.0
77;77;169;169;8011;60;1330;store a part from stopper 2;211;12.05.21;2022-09-22 10:32:10;12.05.21;10:32:22;5;1126;2021-12-05 10:32:10;2021-12-05 10:32:22;13;12.0;120.00000000000001;791.0
78;78;170;170;8011;10;1330;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:20:40;12.05.21;10:20:55;5;0;2021-12-05 10:20:40;2021-12-05 10:20:55;14;15.000000000000002;0.0;0.0
79;79;171;171;8011;20;1330;feed part from magazin;200;12.05.21;2022-09-22 10:21:22;12.05.21;10:21:24;11;27;2021-12-05 10:21:22;2021-12-05 10:21:24;14;2.0;27.0;0.0
80;80;184;184;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 10:29:11;12.05.21;10:31:03;8;6;2021-12-05 10:29:11;2021-12-05 10:31:03;14;112.0;467.00000000000006;0.0
81;81;185;185;8011;40;1330;feed part from magazin;200;12.05.21;2022-09-22 10:32:15;12.05.21;10:32:17;6;63;2021-12-05 10:32:15;2021-12-05 10:32:17;14;2.0;72.0;0.0
82;82;186;186;8011;50;1330;pressing for time in seconds;110;12.05.21;2022-09-22 10:32:32;12.05.21;10:32:36;7;14;2021-12-05 10:32:32;2021-12-05 10:32:36;14;4.0;15.000000000000002;0.0
83;83;187;187;8011;60;1330;store a part from stopper 2;211;12.05.21;2022-09-22 10:34:20;12.05.21;10:34:33;5;1126;2021-12-05 10:34:20;2021-12-05 10:34:33;14;13.0;104.0;833.0
84;84;176;176;8011;10;1330;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:20:59;12.05.21;10:21:14;5;0;2021-12-05 10:20:59;2021-12-05 10:21:14;15;15.000000000000002;0.0;0.0
85;85;177;177;8011;20;1330;feed part from magazin;200;12.05.21;2022-09-22 10:21:41;12.05.21;10:21:43;11;27;2021-12-05 10:21:41;2021-12-05 10:21:43;15;2.0;27.0;0.0
86;86;190;190;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 10:31:07;12.05.21;10:32:59;8;6;2021-12-05 10:31:07;2021-12-05 10:32:59;15;112.0;564.0;0.0
87;87;191;191;8011;40;1330;feed part from magazin;200;12.05.21;2022-09-22 10:33:43;12.05.21;10:33:45;6;63;2021-12-05 10:33:43;2021-12-05 10:33:45;15;2.0;44.0;0.0
88;88;192;192;8011;50;1330;pressing for time in seconds;110;12.05.21;2022-09-22 10:33:58;12.05.21;10:34:00;7;14;2021-12-05 10:33:58;2021-12-05 10:34:00;15;2.0;13.0;0.0
89;89;193;193;8011;60;1330;store a part from stopper 2;211;12.05.21;2022-09-22 10:35:30;12.05.21;10:35:45;5;1126;2021-12-05 10:35:30;2021-12-05 10:35:45;15;15.000000000000002;90.0;886.0
90;90;182;182;8011;10;1330;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:21:18;12.05.21;10:21:33;5;0;2021-12-05 10:21:18;2021-12-05 10:21:33;16;15.000000000000002;0.0;0.0
91;91;183;183;8011;20;1330;feed part from magazin;200;12.05.21;2022-09-22 10:22:00;12.05.21;10:22:02;11;27;2021-12-05 10:22:00;2021-12-05 10:22:02;16;2.0;27.0;0.0
92;92;172;172;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 10:33:21;12.05.21;10:35:14;8;6;2021-12-05 10:33:21;2021-12-05 10:35:14;16;113.0;679.0;0.0
93;93;173;173;8011;40;1330;feed part from magazin;200;12.05.21;2022-09-22 10:35:56;12.05.21;10:35:58;6;63;2021-12-05 10:35:56;2021-12-05 10:35:58;16;2.0;42.0;0.0
94;94;174;174;8011;50;1330;pressing for time in seconds;110;12.05.21;2022-09-22 10:36:20;12.05.21;10:36:22;7;14;2021-12-05 10:36:20;2021-12-05 10:36:22;16;2.0;22.0;0.0
95;95;175;175;8011;60;1330;store a part from stopper 2;211;12.05.21;2022-09-22 10:38:06;12.05.21;10:38:19;5;1126;2021-12-05 10:38:06;2021-12-05 10:38:19;16;13.0;104.0;1021.0000000000001
96;96;188;188;8011;10;1330;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:22:06;12.05.21;10:22:20;5;0;2021-12-05 10:22:06;2021-12-05 10:22:20;17;14.0;0.0;0.0
97;97;189;189;8011;20;1330;feed part from magazin;200;12.05.21;2022-09-22 10:22:47;12.05.21;10:22:49;11;27;2021-12-05 10:22:47;2021-12-05 10:22:49;17;2.0;27.0;0.0
98;98;178;178;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 10:35:18;12.05.21;10:37:10;8;6;2021-12-05 10:35:18;2021-12-05 10:37:10;17;112.0;749.0;0.0
99;99;179;179;8011;40;1330;feed part from magazin;200;12.05.21;2022-09-22 10:38:07;12.05.21;10:38:09;6;63;2021-12-05 10:38:07;2021-12-05 10:38:09;17;2.0;57.0;0.0
100;100;180;180;8011;50;1330;pressing for time in seconds;110;12.05.21;2022-09-22 10:38:23;12.05.21;10:38:25;7;14;2021-12-05 10:38:23;2021-12-05 10:38:25;17;2.0;14.0;0.0
101;101;181;181;8011;60;1330;store a part from stopper 2;211;12.05.21;2022-09-22 10:40:01;12.05.21;10:40:15;5;1126;2021-12-05 10:40:01;2021-12-05 10:40:15;17;14.0;96.0;1089.0
102;102;194;194;8011;10;1330;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:24:39;12.05.21;10:24:53;5;0;2021-12-05 10:24:39;2021-12-05 10:24:53;18;14.0;0.0;0.0
103;103;195;195;8011;20;1330;feed part from magazin;200;12.05.21;2022-09-22 10:25:20;12.05.21;10:25:22;11;27;2021-12-05 10:25:20;2021-12-05 10:25:22;18;2.0;27.0;0.0
104;104;202;202;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 10:37:14;12.05.21;10:39:06;8;6;2021-12-05 10:37:14;2021-12-05 10:39:06;18;112.0;712.0;0.0
105;105;203;203;8011;40;1330;feed part from magazin;200;12.05.21;2022-09-22 10:39:50;12.05.21;10:39:53;6;63;2021-12-05 10:39:50;2021-12-05 10:39:53;18;3.0;44.0;0.0
106;106;204;204;8011;50;1330;pressing for time in seconds;110;12.05.21;2022-09-22 10:40:06;12.05.21;10:40:08;7;14;2021-12-05 10:40:06;2021-12-05 10:40:08;18;2.0;13.0;0.0
107;107;205;205;8011;60;1330;store a part from stopper 2;211;12.05.21;2022-09-22 10:41:49;12.05.21;10:42:01;5;1126;2021-12-05 10:41:49;2021-12-05 10:42:01;18;12.0;101.0;1042.0
108;108;200;200;8011;10;1330;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:25:47;12.05.21;10:25:59;5;0;2021-12-05 10:25:47;2021-12-05 10:25:59;19;12.0;0.0;0.0
109;109;201;201;8011;20;1330;feed part from magazin;200;12.05.21;2022-09-22 10:26:26;12.05.21;10:26:28;11;27;2021-12-05 10:26:26;2021-12-05 10:26:28;19;2.0;27.0;0.0
110;110;196;196;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 10:39:11;12.05.21;10:41:03;8;6;2021-12-05 10:39:11;2021-12-05 10:41:03;19;112.0;763.0;0.0
111;111;197;197;8011;40;1330;feed part from magazin;200;12.05.21;2022-09-22 10:41:46;12.05.21;10:41:48;6;63;2021-12-05 10:41:46;2021-12-05 10:41:48;19;2.0;43.0;0.0
112;112;198;198;8011;50;1330;pressing for time in seconds;110;12.05.21;2022-09-22 10:42:03;12.05.21;10:42:06;7;14;2021-12-05 10:42:03;2021-12-05 10:42:06;19;3.0;15.000000000000002;0.0
113;113;199;199;8011;60;1330;store a part from stopper 2;211;12.05.21;2022-09-22 10:43:51;12.05.21;10:44:02;5;1126;2021-12-05 10:43:51;2021-12-05 10:44:02;19;11.0;105.0;1095.0
114;114;206;206;8011;10;1330;release a defined part on stopper 1;212;12.05.21;2022-09-22 10:28:42;12.05.21;10:28:54;5;0;2021-12-05 10:28:42;2021-12-05 10:28:54;20;12.0;0.0;0.0
115;115;207;207;8011;20;1330;feed part from magazin;200;12.05.21;2022-09-22 10:29:21;12.05.21;10:29:22;11;27;2021-12-05 10:29:21;2021-12-05 10:29:22;20;1.0;27.0;0.0
116;116;208;208;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.21;2022-09-22 10:41:08;12.05.21;10:43:00;8;6;2021-12-05 10:41:08;2021-12-05 10:43:00;20;112.0;706.0;0.0
117;117;209;209;8011;40;1330;feed part from magazin;200;12.05.21;2022-09-22 10:44:05;12.05.21;10:44:07;6;63;2021-12-05 10:44:05;2021-12-05 10:44:07;20;2.0;65.0;0.0
118;118;210;210;8011;50;1330;pressing for time in seconds;110;12.05.21;2022-09-22 10:44:22;12.05.21;10:44:25;7;14;2021-12-05 10:44:22;2021-12-05 10:44:25;20;3.0;15.000000000000002;0.0
119;119;211;211;8011;60;1330;store a part from stopper 2;211;12.05.21;2022-09-22 10:46:07;12.05.21;10:46:18;5;1126;2021-12-05 10:46:07;2021-12-05 10:46:18;20;11.0;102.0;1056.0
120;120;212;212;8111;10;1332;release a defined part on stopper 1;212;12.05.21;2022-09-22 11:08:24;12.05.21;11:08:38;5;0;2021-12-05 11:08:24;2021-12-05 11:08:38;21;14.0;0.0;0.0
121;121;213;213;8111;20;1332;feed part from magazin;200;12.05.21;2022-09-22 11:09:05;12.05.21;11:09:07;11;27;2021-12-05 11:09:05;2021-12-05 11:09:07;21;2.0;27.0;0.0
122;122;214;214;8111;30;1332;assembly part with defined PCB;300;12.05.21;2022-09-22 11:11:18;12.05.21;11:12:58;8;6;2021-12-05 11:11:18;2021-12-05 11:12:58;21;100.0;131.0;0.0
123;123;215;215;8111;40;1332;feed part from magazin;200;12.05.21;2022-09-22 11:13:44;12.05.21;11:13:46;6;63;2021-12-05 11:13:44;2021-12-05 11:13:46;21;2.0;46.0;0.0
124;124;216;216;8111;50;1332;pressing for time in seconds;110;12.05.21;2022-09-22 11:14:00;12.05.21;11:14:04;7;14;2021-12-05 11:14:00;2021-12-05 11:14:04;21;4.0;14.0;0.0
125;125;217;217;8111;60;1332;store a part from stopper 2;211;12.05.21;2022-09-22 11:15:26;12.05.21;11:15:39;5;1126;2021-12-05 11:15:26;2021-12-05 11:15:39;21;13.0;82.0;435.0
126;126;218;218;8111;10;1332;release a defined part on stopper 1;212;12.05.21;2022-09-22 11:08:41;12.05.21;11:08:54;5;0;2021-12-05 11:08:41;2021-12-05 11:08:54;22;13.0;0.0;0.0
127;127;219;219;8111;20;1332;feed part from magazin;200;12.05.21;2022-09-22 11:09:21;12.05.21;11:09:23;11;27;2021-12-05 11:09:21;2021-12-05 11:09:23;22;2.0;27.0;0.0
128;128;220;220;8111;30;1332;assembly part with defined PCB;300;12.05.21;2022-09-22 11:13:21;12.05.21;11:15:01;8;6;2021-12-05 11:13:21;2021-12-05 11:15:01;22;100.0;238.00000000000003;0.0
129;129;221;221;8111;40;1332;feed part from magazin;200;12.05.21;2022-09-22 11:16:13;12.05.21;11:16:16;6;63;2021-12-05 11:16:13;2021-12-05 11:16:16;22;3.0;72.0;0.0
130;130;222;222;8111;50;1332;pressing for time in seconds;110;12.05.21;2022-09-22 11:16:37;12.05.21;11:16:45;7;14;2021-12-05 11:16:37;2021-12-05 11:16:45;22;8.0;21.0;0.0
