;level_0;Unnamed: 0;index;Produktvariante;Prozessschritt;Auftragsnummer;Prozessbeschreibung;Prozessnummer;Startdatum;Startzeit;Enddatum;Endzeit;Arbeitsstation;Transportzeit;Start;Ende;werkstueckID
58;58;56;34;8010;50;1329;pressing for time in seconds;110;12.05.2021;10:24:48;12.05.2021;10:24:51;7;14;05.12.2021 10:24;05.12.2021 10:24;10
59;59;57;35;8010;60;1329;store a part from stopper 2;211;12.05.2021;10:26:12;12.05.2021;10:26:24;5;1126;05.12.2021 10:26;05.12.2021 10:26;10
60;60;60;60;8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:18:10;12.05.2021;10:18:24;5;0;05.12.2021 10:18;05.12.2021 10:18;11
61;61;61;61;8011;20;1330;feed part from magazin;200;12.05.2021;10:18:52;12.05.2021;10:18:54;11;27;05.12.2021 10:18;05.12.2021 10:18;11
62;62;62;62;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:23:24;12.05.2021;10:25:15;8;6;05.12.2021 10:23;05.12.2021 10:25;11
63;63;63;63;8011;40;1330;feed part from magazin;200;12.05.2021;10:26:26;12.05.2021;10:26:28;6;63;05.12.2021 10:26;05.12.2021 10:26;11
64;64;64;64;8011;50;1330;pressing for time in seconds;110;12.05.2021;10:26:42;12.05.2021;10:26:44;7;14;05.12.2021 10:26;05.12.2021 10:26;11
65;65;65;65;8011;60;1330;store a part from stopper 2;211;12.05.2021;10:28:29;12.05.2021;10:28:41;5;1126;05.12.2021 10:28;05.12.2021 10:28;11
66;66;66;66;8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:18:53;12.05.2021;10:19:07;5;0;05.12.2021 10:18;05.12.2021 10:19;12
67;67;67;67;8011;20;1330;feed part from magazin;200;12.05.2021;10:19:34;12.05.2021;10:19:36;11;27;05.12.2021 10:19;05.12.2021 10:19;12
68;68;68;68;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:25:20;12.05.2021;10:27:11;8;6;05.12.2021 10:25;05.12.2021 10:27;12
69;69;69;69;8011;40;1330;feed part from magazin;200;12.05.2021;10:28:10;12.05.2021;10:28:12;6;63;05.12.2021 10:28;05.12.2021 10:28;12
70;70;70;70;8011;50;1330;pressing for time in seconds;110;12.05.2021;10:28:30;12.05.2021;10:28:34;7;14;05.12.2021 10:28;05.12.2021 10:28;12
71;71;71;71;8011;60;1330;store a part from stopper 2;211;12.05.2021;10:30:21;12.05.2021;10:30:32;5;1126;05.12.2021 10:30;05.12.2021 10:30;12
72;72;72;72;8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:19:11;12.05.2021;10:19:26;5;0;05.12.2021 10:19;05.12.2021 10:19;13
73;73;73;73;8011;20;1330;feed part from magazin;200;12.05.2021;10:19:53;12.05.2021;10:19:55;11;27;05.12.2021 10:19;05.12.2021 10:19;13
74;74;74;166;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:27:15;12.05.2021;10:29:06;8;6;05.12.2021 10:27;05.12.2021 10:29;13
75;75;75;167;8011;40;1330;feed part from magazin;200;12.05.2021;10:29:48;12.05.2021;10:29:50;6;63;05.12.2021 10:29;05.12.2021 10:29;13
76;76;76;168;8011;50;1330;pressing for time in seconds;110;12.05.2021;10:30:08;12.05.2021;10:30:10;7;14;05.12.2021 10:30;05.12.2021 10:30;13
77;77;77;169;8011;60;1330;store a part from stopper 2;211;12.05.2021;10:32:10;12.05.2021;10:32:22;5;1126;05.12.2021 10:32;05.12.2021 10:32;13
78;78;78;170;8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:20:40;12.05.2021;10:20:55;5;0;05.12.2021 10:20;05.12.2021 10:20;14
79;79;79;171;8011;20;1330;feed part from magazin;200;12.05.2021;10:21:22;12.05.2021;10:21:24;11;27;05.12.2021 10:21;05.12.2021 10:21;14
80;80;80;184;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:29:11;12.05.2021;10:31:03;8;6;05.12.2021 10:29;05.12.2021 10:31;14
81;81;81;185;8011;40;1330;feed part from magazin;200;12.05.2021;10:32:15;12.05.2021;10:32:17;6;63;05.12.2021 10:32;05.12.2021 10:32;14
82;82;82;186;8011;50;1330;pressing for time in seconds;110;12.05.2021;10:32:32;12.05.2021;10:32:36;7;14;05.12.2021 10:32;05.12.2021 10:32;14
83;83;83;187;8011;60;1330;store a part from stopper 2;211;12.05.2021;10:34:20;12.05.2021;10:34:33;5;1126;05.12.2021 10:34;05.12.2021 10:34;14
84;84;84;176;8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:20:59;12.05.2021;10:21:14;5;0;05.12.2021 10:20;05.12.2021 10:21;15
85;85;85;177;8011;20;1330;feed part from magazin;200;12.05.2021;10:21:41;12.05.2021;10:21:43;11;27;05.12.2021 10:21;05.12.2021 10:21;15
86;86;86;190;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:31:07;12.05.2021;10:32:59;8;6;05.12.2021 10:31;05.12.2021 10:32;15
87;87;87;191;8011;40;1330;feed part from magazin;200;12.05.2021;10:33:43;12.05.2021;10:33:45;6;63;05.12.2021 10:33;05.12.2021 10:33;15
88;88;88;192;8011;50;1330;pressing for time in seconds;110;12.05.2021;10:33:58;12.05.2021;10:34:00;7;14;05.12.2021 10:33;05.12.2021 10:34;15
89;89;89;193;8011;60;1330;store a part from stopper 2;211;12.05.2021;10:35:30;12.05.2021;10:35:45;5;1126;05.12.2021 10:35;05.12.2021 10:35;15
90;90;94;182;8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:21:18;12.05.2021;10:21:33;5;0;05.12.2021 10:21;05.12.2021 10:21;16
91;91;95;183;8011;20;1330;feed part from magazin;200;12.05.2021;10:22:00;12.05.2021;10:22:02;11;27;05.12.2021 10:22;05.12.2021 10:22;16
92;92;90;172;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:33:21;12.05.2021;10:35:14;8;6;05.12.2021 10:33;05.12.2021 10:35;16
93;93;91;173;8011;40;1330;feed part from magazin;200;12.05.2021;10:35:56;12.05.2021;10:35:58;6;63;05.12.2021 10:35;05.12.2021 10:35;16
94;94;92;174;8011;50;1330;pressing for time in seconds;110;12.05.2021;10:36:20;12.05.2021;10:36:22;7;14;05.12.2021 10:36;05.12.2021 10:36;16
95;95;93;175;8011;60;1330;store a part from stopper 2;211;12.05.2021;10:38:06;12.05.2021;10:38:19;5;1126;05.12.2021 10:38;05.12.2021 10:38;16
96;96;100;188;8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:22:06;12.05.2021;10:22:20;5;0;05.12.2021 10:22;05.12.2021 10:22;17
97;97;101;189;8011;20;1330;feed part from magazin;200;12.05.2021;10:22:47;12.05.2021;10:22:49;11;27;05.12.2021 10:22;05.12.2021 10:22;17
98;98;96;178;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:35:18;12.05.2021;10:37:10;8;6;05.12.2021 10:35;05.12.2021 10:37;17
99;99;97;179;8011;40;1330;feed part from magazin;200;12.05.2021;10:38:07;12.05.2021;10:38:09;6;63;05.12.2021 10:38;05.12.2021 10:38;17
100;100;98;180;8011;50;1330;pressing for time in seconds;110;12.05.2021;10:38:23;12.05.2021;10:38:25;7;14;05.12.2021 10:38;05.12.2021 10:38;17
101;101;99;181;8011;60;1330;store a part from stopper 2;211;12.05.2021;10:40:01;12.05.2021;10:40:15;5;1126;05.12.2021 10:40;05.12.2021 10:40;17
102;102;102;194;8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:24:39;12.05.2021;10:24:53;5;0;05.12.2021 10:24;05.12.2021 10:24;18
103;103;103;195;8011;20;1330;feed part from magazin;200;12.05.2021;10:25:20;12.05.2021;10:25:22;11;27;05.12.2021 10:25;05.12.2021 10:25;18
104;104;104;202;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:37:14;12.05.2021;10:39:06;8;6;05.12.2021 10:37;05.12.2021 10:39;18
105;105;105;203;8011;40;1330;feed part from magazin;200;12.05.2021;10:39:50;12.05.2021;10:39:53;6;63;05.12.2021 10:39;05.12.2021 10:39;18
106;106;106;204;8011;50;1330;pressing for time in seconds;110;12.05.2021;10:40:06;12.05.2021;10:40:08;7;14;05.12.2021 10:40;05.12.2021 10:40;18
107;107;107;205;8011;60;1330;store a part from stopper 2;211;12.05.2021;10:41:49;12.05.2021;10:42:01;5;1126;05.12.2021 10:41;05.12.2021 10:42;18
108;108;112;200;8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:25:47;12.05.2021;10:25:59;5;0;05.12.2021 10:25;05.12.2021 10:25;19
109;109;113;201;8011;20;1330;feed part from magazin;200;12.05.2021;10:26:26;12.05.2021;10:26:28;11;27;05.12.2021 10:26;05.12.2021 10:26;19
110;110;108;196;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:39:11;12.05.2021;10:41:03;8;6;05.12.2021 10:39;05.12.2021 10:41;19
111;111;109;197;8011;40;1330;feed part from magazin;200;12.05.2021;10:41:46;12.05.2021;10:41:48;6;63;05.12.2021 10:41;05.12.2021 10:41;19
112;112;110;198;8011;50;1330;pressing for time in seconds;110;12.05.2021;10:42:03;12.05.2021;10:42:06;7;14;05.12.2021 10:42;05.12.2021 10:42;19
113;113;111;199;8011;60;1330;store a part from stopper 2;211;12.05.2021;10:43:51;12.05.2021;10:44:02;5;1126;05.12.2021 10:43;05.12.2021 10:44;19
114;114;114;206;8011;10;1330;release a defined part on stopper 1;212;12.05.2021;10:28:42;12.05.2021;10:28:54;5;0;05.12.2021 10:28;05.12.2021 10:28;20
115;115;115;207;8011;20;1330;feed part from magazin;200;12.05.2021;10:29:21;12.05.2021;10:29:22;11;27;05.12.2021 10:29;05.12.2021 10:29;20
116;116;116;208;8011;30;1330;assemble a PCB with fuse left and right ;304;12.05.2021;10:41:08;12.05.2021;10:43:00;8;6;05.12.2021 10:41;05.12.2021 10:43;20
117;117;117;209;8011;40;1330;feed part from magazin;200;12.05.2021;10:44:05;12.05.2021;10:44:07;6;63;05.12.2021 10:44;05.12.2021 10:44;20
118;118;118;210;8011;50;1330;pressing for time in seconds;110;12.05.2021;10:44:22;12.05.2021;10:44:25;7;14;05.12.2021 10:44;05.12.2021 10:44;20
119;119;119;211;8011;60;1330;store a part from stopper 2;211;12.05.2021;10:46:07;12.05.2021;10:46:18;5;1126;05.12.2021 10:46;05.12.2021 10:46;20
120;120;120;212;8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:08:24;12.05.2021;11:08:38;5;0;05.12.2021 11:08;05.12.2021 11:08;21
121;121;121;213;8111;20;1332;feed part from magazin;200;12.05.2021;11:09:05;12.05.2021;11:09:07;11;27;05.12.2021 11:09;05.12.2021 11:09;21
122;122;122;214;8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:11:18;12.05.2021;11:12:58;8;6;05.12.2021 11:11;05.12.2021 11:12;21
123;123;123;215;8111;40;1332;feed part from magazin;200;12.05.2021;11:13:44;12.05.2021;11:13:46;6;63;05.12.2021 11:13;05.12.2021 11:13;21
124;124;124;216;8111;50;1332;pressing for time in seconds;110;12.05.2021;11:14:00;12.05.2021;11:14:04;7;14;05.12.2021 11:14;05.12.2021 11:14;21
125;125;125;217;8111;60;1332;store a part from stopper 2;211;12.05.2021;11:15:26;12.05.2021;11:15:39;5;1126;05.12.2021 11:15;05.12.2021 11:15;21
126;126;126;218;8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:08:41;12.05.2021;11:08:54;5;0;05.12.2021 11:08;05.12.2021 11:08;22
127;127;127;219;8111;20;1332;feed part from magazin;200;12.05.2021;11:09:21;12.05.2021;11:09:23;11;27;05.12.2021 11:09;05.12.2021 11:09;22
128;128;128;220;8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:13:21;12.05.2021;11:15:01;8;6;05.12.2021 11:13;05.12.2021 11:15;22
129;129;129;221;8111;40;1332;feed part from magazin;200;12.05.2021;11:16:13;12.05.2021;11:16:16;6;63;05.12.2021 11:16;05.12.2021 11:16;22
130;130;130;222;8111;50;1332;pressing for time in seconds;110;12.05.2021;11:16:37;12.05.2021;11:16:45;7;14;05.12.2021 11:16;05.12.2021 11:16;22
131;131;131;223;8111;60;1332;store a part from stopper 2;211;12.05.2021;11:19:09;12.05.2021;11:19:21;5;1126;05.12.2021 11:19;05.12.2021 11:19;22
132;132;136;224;8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:09:17;12.05.2021;11:09:29;5;0;05.12.2021 11:09;05.12.2021 11:09;23
133;133;137;225;8111;20;1332;feed part from magazin;200;12.05.2021;11:09:56;12.05.2021;11:09:58;11;27;05.12.2021 11:09;05.12.2021 11:09;23
134;134;132;74;8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:15:05;12.05.2021;11:16:45;8;6;05.12.2021 11:15;05.12.2021 11:16;23
135;135;133;75;8111;40;1332;feed part from magazin;200;12.05.2021;11:17:47;12.05.2021;11:17:50;6;63;05.12.2021 11:17;05.12.2021 11:17;23
136;136;134;76;8111;50;1332;pressing for time in seconds;110;12.05.2021;11:18:03;12.05.2021;11:18:05;7;14;05.12.2021 11:18;05.12.2021 11:18;23
137;137;135;77;8111;60;1332;store a part from stopper 2;211;12.05.2021;11:19:48;12.05.2021;11:20:03;5;1126;05.12.2021 11:19;05.12.2021 11:20;23
138;138;138;78;8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:09:33;12.05.2021;11:09:46;5;0;05.12.2021 11:09;05.12.2021 11:09;24
139;139;139;79;8111;20;1332;feed part from magazin;200;12.05.2021;11:10:13;12.05.2021;11:10:15;11;27;05.12.2021 11:10;05.12.2021 11:10;24
140;140;140;86;8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:16:49;12.05.2021;11:18:29;8;6;05.12.2021 11:16;05.12.2021 11:18;24
141;141;141;87;8111;40;1332;feed part from magazin;200;12.05.2021;11:19:30;12.05.2021;11:19:32;6;63;05.12.2021 11:19;05.12.2021 11:19;24
142;142;142;88;8111;50;1332;pressing for time in seconds;110;12.05.2021;11:19:45;12.05.2021;11:19:48;7;14;05.12.2021 11:19;05.12.2021 11:19;24
143;143;143;89;8111;60;1332;store a part from stopper 2;211;12.05.2021;11:21:39;12.05.2021;11:21:51;5;1126;05.12.2021 11:21;05.12.2021 11:21;24
144;144;144;84;8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:10:16;12.05.2021;11:10:30;5;0;05.12.2021 11:10;05.12.2021 11:10;25
145;145;145;85;8111;20;1332;feed part from magazin;200;12.05.2021;11:10:56;12.05.2021;11:10:58;11;27;05.12.2021 11:10;05.12.2021 11:10;25
146;146;146;98;8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:18:33;12.05.2021;11:20:13;8;6;05.12.2021 11:18;05.12.2021 11:20;25
147;147;147;99;8111;40;1332;feed part from magazin;200;12.05.2021;11:21:01;12.05.2021;11:21:04;6;63;05.12.2021 11:21;05.12.2021 11:21;25
148;148;148;100;8111;50;1332;pressing for time in seconds;110;12.05.2021;11:21:22;12.05.2021;11:21:25;7;14;05.12.2021 11:21;05.12.2021 11:21;25
149;149;149;101;8111;60;1332;store a part from stopper 2;211;12.05.2021;11:22:57;12.05.2021;11:23:09;5;1126;05.12.2021 11:22;05.12.2021 11:23;25
150;150;150;90;8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:10:33;12.05.2021;11:10:47;5;0;05.12.2021 11:10;05.12.2021 11:10;26
151;151;151;91;8111;20;1332;feed part from magazin;200;12.05.2021;11:11:14;12.05.2021;11:11:16;11;27;05.12.2021 11:11;05.12.2021 11:11;26
152;152;152;116;8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:20:17;12.05.2021;11:21:56;8;6;05.12.2021 11:20;05.12.2021 11:21;26
153;153;153;117;8111;40;1332;feed part from magazin;200;12.05.2021;11:22:42;12.05.2021;11:22:44;6;63;05.12.2021 11:22;05.12.2021 11:22;26
154;154;154;118;8111;50;1332;pressing for time in seconds;110;12.05.2021;11:22:57;12.05.2021;11:22:59;7;14;05.12.2021 11:22;05.12.2021 11:22;26
155;155;155;119;8111;60;1332;store a part from stopper 2;211;12.05.2021;11:25:38;12.05.2021;11:25:50;5;1126;05.12.2021 11:25;05.12.2021 11:25;26
156;156;156;96;8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:10:57;12.05.2021;11:11:10;5;0;05.12.2021 11:10;05.12.2021 11:11;27
157;157;157;97;8111;20;1332;feed part from magazin;200;12.05.2021;11:11:37;12.05.2021;11:11:39;11;27;05.12.2021 11:11;05.12.2021 11:11;27
158;158;158;110;8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:22:19;12.05.2021;11:23:58;8;6;05.12.2021 11:22;05.12.2021 11:23;27
159;159;159;111;8111;40;1332;feed part from magazin;200;12.05.2021;11:25:12;12.05.2021;11:25:15;6;63;05.12.2021 11:25;05.12.2021 11:25;27
160;160;160;112;8111;50;1332;pressing for time in seconds;110;12.05.2021;11:25:30;12.05.2021;11:25:32;7;14;05.12.2021 11:25;05.12.2021 11:25;27
161;161;161;113;8111;60;1332;store a part from stopper 2;211;12.05.2021;11:26:59;12.05.2021;11:27:11;5;1126;05.12.2021 11:26;05.12.2021 11:27;27
162;162;166;102;8111;10;1332;release a defined part on stopper 1;212;12.05.2021;11:12:19;12.05.2021;11:12:33;5;0;05.12.2021 11:12;05.12.2021 11:12;28
163;163;167;103;8111;20;1332;feed part from magazin;200;12.05.2021;11:13:00;12.05.2021;11:13:02;11;27;05.12.2021 11:13;05.12.2021 11:13;28
164;164;162;80;8111;30;1332;assembly part with defined PCB;300;12.05.2021;11:24:03;12.05.2021;11:25:43;8;6;05.12.2021 11:24;05.12.2021 11:25;28
165;165;163;81;8111;40;1332;feed part from magazin;200;12.05.2021;11:27:02;12.05.2021;11:27:04;6;63;05.12.2021 11:27;05.12.2021 11:27;28
166;166;164;82;8111;50;1332;pressing for time in seconds;110;12.05.2021;11:27:17;12.05.2021;11:27:19;7;14;05.12.2021 11:27;05.12.2021 11:27;28
